,text,lable
33,بعد قراءة الصحف يمكن ن تستخدم في أعمال أخرى,0
34,تعد قراءة الصحف صحية أكثر من قراءة الأخبار من شاشة تلفاز أو هاتف أو غيرها,0
35,التكنولوجيا لا تستطيع أن تحل كل مشاكل العالم!,1
36,إن التكنولوجيا ليست الحل الأفضل لجميع مشاكل العالم المعقدة,0
37,عدم وجود خلاف على حقيقة أن التكنولوجيا مهمة جدًا لحياتنا,0
38,أعتقد بقوة أن مزاياها تفوق بوضوح عيوبها ، ويمكنها أن تساهم بشكل كبير في تنمية العالم,0
39,هناك بعض المشاكل الخطيرة التي تنشأ من التكنولوجيا الحديثة,0
40,مسألة عدم الزواج من نفس الجنس,1
41,لا يوجد أي سبب قانوني أو منطقي أو حاكم على الإطلاق يمنع الأزواج من نفس الجنس ، ومن غير الدستوري تمامًا في كل الأحوال إخبارهم بأنهم لا يستطيعون ذلك,0
42,الأشخاص الذين ينجذبون إلى نفس الجنس يشعرون بالدونية ويبدون أدنى من الآخرين,0
43,يجب على الجميع الذهاب للتخييم,1
44,يعد قضاء الوقت في التخييم طريقة رائعة لتنشيط الرئتين,0
45,جزء آخر رائع عن التخييم هو التواجد في الخارج تحت أشعة الشمس,0
46,يتيح التخييم لأي شخص إمكانية الذهاب إلى أماكن لم يسبق لها مثيل من قبل,0
47,التخييم له متطلبات مادية قد لا يمكن تحملها,0
48,التخييم في أماكن لا يجب التخييم بها قد يعود بمشكلات نحن بغنىً عنها,0
49,نسبة كبيرة من التلوث في الطبيعة سببه المخييمين الغير مهذبين,0
50,لا تقوم المدارس بفحص الخزانة,1
51,الفحوصات مطلوبة لأن الطلاب الخبثاء يجلبون المخدرات والأسلحة إلى المدرسة ويخزنونها في الخزائن,0
52,تساعد عمليات فحص الخزانة على زيادة السلامة في المدارس,1
53,تساعد عمليات التحقق من الخزانة الطلاب على البقاء بصحة جيدة جسديًا وعقليًا لأنها تثني الطلاب عن إحضار الأسلحة النارية وخاصة المخدرات,0
54,فحص خزائن الطلاب يعتبرانتهاك لخصوصياتهم,0
55,بعض الطلاب تخبئ في الخزانة أغلاض لا ترغب لأحد أن يراها,0
56,خزائن الفتيات يجب أن تكون خصوصية قصوى و لا ينبغي على أحد رؤية ما بداخلها,0
57,الكمبيوتر يحل محل القوة البشرية في الوظائف,1
58,مع الاتجاه الحالي للتكنولوجيا المتغيرة باستمرار ، لا يمكن إنكار إمكانية استبدال العديد من الوظائف,0
59,صحيح أن التكنولوجيا وأجهزة الكمبيوتر تجعل وظائفهم أسهل ، لكنها بالتأكيد لا يمكن أن تحل محلها,0
60,شاحن عمير من النوع الفاخر,0
61,استخدام الحيوانات لمنفعة البشر,1
62,مع التطور السريع لمستوى حياة الناس ، يتم إجراء عدد متزايد من التجارب على الحيوانات ، مثل الأدوية والأطعمة الجديدة,0
63,يقول بعض المعارضين إنه أمر قاس على الحيوانات والطبيعة,0
64,يجب على الدول الغنية مساعدة الدول الفقيرة,1
65,لتخفيف هذا الاختلاف ومساعدة البلدان الأقل ثراءً ، يجب على الدول الأغنى أن تبذل جهودًا لتحسين المجالات المهمة في البلدان الأقل ثراءً,0
66,المساواة بين الجنسين في القبول الجامعي,1
67,في الوقت الحاضر ، يشارك الرجال والنساء على قدم المساواة في كل مجال,0
68,في الماضي ، كانت النساء يعملن في المنزل ويؤدين عملاً متطورًا,0
69,هل المتاحف كشكل من أشكال الترفيه؟,1
70,هل المتاحف كشكل من أشكال التعليم؟,1
71,يقول بعض الناس أن زيارة المتاحف ليست سوى شكل من أشكال الترفيه,0
72,يختلف آخرون ، بحجة أن المتاحف تلعب دورًا في التعليم,0
73,الإعلانات تؤثر على السلع الاستهلاكية,1
74,الطريقة الأكثر فعالية لإقناع المستهلكين بشراء منتج هي من خلال الإعلان,0
75,يجب أن يذهب الشباب إلى الجامعة,1
76,وفيما يتعلق بتنمية الدولة ، يعتقد البعض أنه من الضروري للطلاب الصغار الحصول على تعليم عالي الجودة في الجامعات,0
77,هناك العديد من فرص العمل لأولئك الذين ليس لديهم شهادة التخرج من الجامعة ، مثل الميكانيكيين أو مندوبي المبيعات,0
78,تأثيرات الهواتف المحمولة,1
79,جلبت شعبية الهواتف المحمولة الكثير من الراحة,0
80,يسود ذعر بين الناس من أن محادثتهم يمكن أن يعترضها الطرف الثالث,0
81,الكمبيوتر له آثار سلبية على الأطفال,1
82,يعتقد بعض الناس أن الكمبيوتر مفيد للأطفال ويجب استخدامه يوميًا من قبل الأطفال,0
83,استخدام الكمبيوتر باستمرار له تأثير سيء على عيون الأطفال,0
84,الأطفال الذين يمارسون الألعاب كثيرًا على الكمبيوتر قد يفتقرون بشكل خطير إلى مهارات الاتصال ، ولن يعرفوا سوى القليل عن الحياة الخارجية,0
85,أصبح إنشاء مصانع كبيرة بالقرب من المناطق السكنية مسألة مثيرة للجدل في مجتمعنا,1
86,تعتبر المباني الصناعية جزءًا ضروريًا من المجتمع الحديث,0
87,يعارض عدد كبير من الناس بناء مصنع بالقرب من مجتمعهم بسبب التلوث,0
88,طعام مجهز مسبقا,1
89,يبدأ المزيد والمزيد من الناس في اختيار الأطعمة الجاهزة كوجباتهم اليومية,0
90,لكن من الواضح أن الطعام المطبوخ يمكن أن يحدث بعض التأثير السلبي الناتج عن استخدام المكونات الاصطناعية وتجاهل تغذية الطعام وتعديل عادات الأكل لدى الناس,0
91,المساعدات المالية للدول النامية,1
92,هناك فجوة متزايدة بين البلدان المتقدمة والبلدان النامية,0
93,تفتقر معظم البلدان النامية إلى الموارد التعليمية,0
94,يجب على المجتمع حظر جميع أشكال الإعلان,1
95,فهي تتسبب فقط في الإضرار بالمجتمع ويجب حظر جميع أشكال الإعلان,0
96,بفضل الإعلانات التي نتعرف عليها حول المنتجات الجديدة ، يمكننا مقارنتها واختيار الأفضل بالنسبة لنا,0
97,الإعلان عن السجائر والكحول سيؤثر بالتأكيد على أطفالنا بطريقة سلبية,0
98,هل تعمل المرأة المتزوجة عادة؟ لماذا ولماذا لا؟,1
99,العمل خارج المنزل سيحقق الكثير من الفوائد لكل من المرأة المتزوجة وأسرها,0
100,هناك العديد من الظروف الداعمة التي تساعد المرأة على تحقيق التوازن بين العمل المنزلي والعمل,0
101,الحكومة والتعليم,1
102,يوفر التعليم الابتدائي والثانوي المعرفة والمهارات الأساسية للناس في هذا العالم,0
103,قد لا يكون لدى بعض الآباء ما يكفي من المال لدفع الرسوم الجامعية لأبنائهم,0
104,يمكن للطلاب الذين لديهم بالفعل معرفة أساسية وتعليم الحصول على وظيفة بدوام جزئي ويمكنهم دفع تكاليف   دراساتهم الخاصة عندما لا يستطيع والدهم دفعها,0
105,وسائل نقل بديلة للتخفيف من الازدحام المروري,1
106,تؤدي الزيادة في عدد السيارات إلى التلوث البيئي,0
107,تؤدي الزيادة في عدد السيارات إلى ازدحام مروري رهيب,0
108,يصبح الهواء ملوثًا ويسبب أمراض الجهاز التنفسي للسكان المحليين,0
109,من الضروري تغيير السيارات إلى وسائل النقل الأخرى وسن تشريعات للتحكم في السيارات,0
110,إن تقديم المساعدة إلى البلدان الفقيرة له آثار سلبية أكثر من التأثير الإيجابي,1
111,فإن كمية كبيرة من المواد والأموال تجعل الدول الفقيرة فاسدة وتعتمد سياسياً على دول أخرى,0
112,آثار العولمة (انخفاض في التوتر العالمي),1
113,يفضل بعض الناس الاعتراف بالعولمة كتهديد للقيم العرقية والدينية لأفراد بلادهم,0
114,لعولمة تعرض ثقافتهم الموروثة لخطر التغيير غير المنضبط وتجعلهم عرضة لهجوم الحكومات الإمبريالية,0
115,يمكن للناس الوصول بشكل أكبر إلى العديد من الموارد الطبيعية في العالم,0
116,فكرة العولمة إلى انخفاض كبير في التوتر العالمي بسبب تقارب فوائد الناس في العالم وهو نتيجة طبيعية للعولمة,0
117,الدراسة في المدرسة أو الحصول على وظيفة؟,1
118,تقدم المدارس للطلاب بيئة جيدة مع أساتذة ذوي خبرة وبرامج عالية الجودة للدراسة,0
119,توفر المدارس الكثير من المعرفة الأكاديمية للطلاب,0
120,تعكس المبيعات المرتفعة قوة الإعلان وليس الحاجة الحقيقية,1
121,غالبًا ما تكون ممتعة بصريًا ، لأنها تهدف إلى جذب انتباهك,0
122,يساعد الإعلان أيضًا في الحفاظ على الأسعار عند مستويات معقولة,0
123,الإعلانات يمكن أن تكون مزيفة ومبالغ فيها,0
124,السيطرة على السلاح,1
125, نسمع بعض الأخبار من وقت لآخر عن إصابة شخص ما عن طريق الصدفة أثناء الصيد,0
126, ستخلق البنادق مجتمعًا عنيفًا إذا استمر هذا الاتجاه,0
127,ويجب على الحكومة فرض سلسلة من القوانين لمنع مجتمعاتنا من العنف,0
128,السلاح بالتأكيد ليس نوعًا من الخير الطبيعي في مجتمعنا,0
129,التكنولوجيا التي توسع الفجوة بين الأغنياء والفقراء؟,1
130,يؤدي تقدم تكنولوجيا المواد إلى انخفاض حاد في أسعار عدد كبير من المنتجات,0
131,يمكن لمعظم أفراد مجتمعنا الاستفادة من نتائج التطورات التقنية ، وخاصة الفقراء,0
132,تتسع الفجوة بين الأغنياء والفقراء من خلال التكنولوجيا,0
133,لماذا يجب أن يسافر البشر إلى الفضاء الخارجي؟,1
134,يمكن اكتشاف العديد من الحقائق حول النظام الشمسي,0
135,يمكن اختراع قدر كبير من التكنولوجيا المتطورة. نظرًا لأن رواد الفضاء يحتاجون إلى السفر إلى الفضاء الخارجي الذي لا يحتوي على أي أكسجين للتنفس ,0
136,فوائد قيام الطلاب بوظائف إضافية,1
137,توفر لهم الوظائف بدوام جزئي فرصة ثمينة لممارسة ما يتعلمونه في جامعاتهم,0
138,يساعد القيام بوظائف إضافية الطالب في الحصول على أموال مقابل إقامتهم,0
139,يساعد القيام بوظائف إضافية الطالب في الحصول على أموال مقابل إقامتهم,0
140,هل يجب أن تقبل الجامعات عددًا متساويًا من الذكور / الإناث,1
141,نظرًا لأن كلا الجنسين متساويان في الأهمية ، يجب منح كلا الجنسين فرصًا متساوية,0
142,يعتقد بعض الرجال الشوفينيين أن النساء غير قادرات في مجالات معينة ، مثل الرياضيات والهندسة الميكانيكية والدفاع وما إلى ذلك,0
143,الألعاب التقليدية أو الألعاب الحديثة في تنمية مهارات الأطفال,1
144,لعبت الألعاب دورًا رئيسيًا في نمو الأطفال ، خاصة من حيث قدراتهم,0
145,أعتقد أن الألعاب التقليدية لا تزال لا غنى عنها في عملية تعلم الأطفال ، بل إنها أكثر أهمية من الألعاب الحديثة ، خاصة في المجتمع الحديث,0
146,لا ينبغي للحكومة أن تخصص أموالاً في بناء المسارح أو الملاعب الرياضية,1
147,يجادل بعض الناس بأن الحكومة يجب أن تستثمر أكثر في الرعاية الطبية والتعليم بدلاً من الترفيه أو المرافق الرياضية,0
148,لمرافق الترفيهية مثل دور السينما والمسارح والملاعب الرياضية موجهة في الغالب للربح. يعتمد وجودهم على استراتيجياتهم التسويقية وحالة المرافق وحجم الجمهور,0
149,يعيش الناس في القرن الحادي والعشرين ، ولديهم قناعة راسخة بأن التكنولوجيا هي القوة الدافعة الرئيسية وراء الإنتاجية,1
150,يشعر بعض الناس بالقلق من أن التكنولوجيا الحديثة قد تكون عقبة أمام الحفاظ على التقنيات وأنماط الحياة التقليدية,0
151,سأستنتج أن التكنولوجيا تدعم بالفعل الحفاظ على التقنيات وأنماط الحياة التقليدية وتعزيزها,0
152,الفنانين المبدعين,1
153,يجلب الفنانون المبتكرون المتعة والإلهام لحياتنا المملة في بعض الأحيان,0
154,يرى بعض الناس أن الفنانين قد عهد إليهم بالكثير من الحرية والسلطة ويجب أن يتم تقييدهم من قبل الحكومة,0
155,يجب أن تسيطر الحكومة على جرائم الإعلام,1
156,أدى ارتفاع معدل الجريمة إلى اقتراح أن الوقت قد حان للحكومة لاتخاذ إجراءات للسيطرة على انتشار مشاهد العنف في وسائل الإعلام,0
157,تعتبر وسائل الإعلام ، مثل التلفزيون أو الفيلم ، مصدر المعلومات الصحيح الذي تنظمه الحكومة,0
158,في الوقت الحاضر ، توجد فرص للنساء أكثر مما كانت عليه في الماضي,1
159,لقد انفتحت النساء على فرص أكثر من أي وقت مضى,0
160,فإن كل شيء له جانب إيجابي وسلبي ، يجب على المرأة أن تجد أفضل طريقة للتغلب على مثل هذه التحديات,0
161,يمكن السيطرة على تزايد حركة المرور والتلوث عن طريق زيادة أسعار البنزين,1
162,نظرًا لأن آثار تلك القضايا المتعلقة بالتلوث والمرور بعيدة المدى للغاية ، فليس من الكافي زيادة سعر البنزين فقط لحل المشكلات,0
163,إيجابيات وسلبيات التطورات في الزراعة,1
164,يجب الحفاظ على هذه التطورات في الزراعة من أجل منفعة جميع البشر,0
165,الطعام المعدل وراثيًا يقطع التوازن الطبيعي للنظام البيئي ويعود ليطاردنا بطرق غير متوقعة,0
166,قد تكون الابتكارات في الزراعة مثل الزراعة الآلية وابتكارات أغذية الهندسة الوراثية هي الطريقة الوحيدة لإطعام العدد الهائل من الناس في كل ركن من أركان العالم,0
167,مزايا وعيوب السائدة في اللغة الإنجليزية,1
168,مع تطور العولمة ، أصبحت اللغة الإنجليزية هي اللغة المهيمنة في التجارة الوطنية ، والمؤتمرات والعديد من الأحداث الهامة,0
169,يعتقد المعارضون أن الوضع المهيمن للغة الإنجليزية قد دمر التنوع الثقافي وانقرضت العديد من اللغات الأقل استخدامًا,0
170,انتشار اللغة الإنجليزية يعزز التواصل والتفاعل بين مختلف البلدان بشكل أكثر ملاءمة ووضوحًا,0
171,يجب الدعوة إلى اللغة الإنجليزية كلغة أنيقة في العديد من المجالات لتوسيع التجارة العالمية والاتصالات,0
172,تدجين الحيوانات,1
173,يشعر الآخرون بالقلق من عدم إساءة استخدام الحيوانات,0
174,يستغل العديد من المزارعين والملاك الحيوانات بما يتجاوز حدودهم. على سبيل المثال ، غالبًا ما يتم حقن الأبقار بواسطة الأوكسيتوسين ، وهو هرمون يستخدم لزيادة الرضاعة بالقوة. وهذا بدوره يسبب الكثير من الانزعاج والألم للماشية,0
175,دفع الإنسان العديد من الحيوانات لاستخدامها الشخصي مثل الأبقار وغيرها من الحيوانات الحلوب لإنتاج الحليب منها,0
176,يشجع الكثير من الناس على استخدام الحيوانات لتلبية احتياجاتهم الشخصية,0
177,قام الإنسان بتدجين عدد كبير من الحيوانات والطيور واستفاد منها ليجعل الحياة أسهل وأكثر راحة لنفسه,0
178,يجب أن يتصرف الإنسان كوصي على الحيوانات بدلاً من أن يتصرف بصفته ربها أو أسيادها,0
179,المتاحف والمعارض الفنية ستختفي قريبا,1
180,أهمية المتاحف والمعارض الفنية واضحة من حيث التعليم والثقافة,0
181,لا يمكن عرض المعروضات الأصلية بالكامل بالصور ومقاطع الفيديو فقط,0
182,السفر إلى مكان ما أفضل بكثير من مشاهدة المناظر الطبيعية لذلك المكان على التلفزيون أو الصور,0
183,من الشائع جدًا أن المزيد والمزيد من الناس يمكنهم مشاهدة المعارض من خلال التلفزيون أو الإنترنت في المنزل بسبب التكنولوجيا الحديثة,0
184,من الواضح أن الأشخاص الذين يشاهدون المعارض على التلفزيون أو الإنترنت في المنزل ، يوفرون الوقت والمال على الطريق,0
185,يجب أن يتعلم المراهقون جميع المواد الدراسية,1
186,لا يمكن إنكار أن التركيز على موضوع واحد يمكن أن يقلل من ضغط الطلاب ويعزز الفعالية في تدريب المواهب,0
187,لا يزال العديد من المراهقين غير قادرين على الاستمتاع بتنوع المناهج الدراسية,0
188,إن الجمع بين المواد الصعبة والسهلة يوازن بين إجهاد العمل المدرسي ويعزز حماسهم في الفصول الدراسية,0
189,مع بعض المعرفة الأساسية للمجالات المتنوعة ، يكون لدى الطلاب المزيد من الخيارات في اختيار المجالات أو الوظائف المتخصصة في المستقبل,0
190,من المقبول عمومًا أن يتعلم الطلاب أكثر من ثمانية مواد في المدرسة,0
191,تأثير اللغة الإنجليزية,1
192,إنها مسألة حقيقة أن تزايد لغات الأقليات قد تضاءل من العالم بسبب انتشار اللغة الإنجليزية,0
193,المعارضين قد يلومون أن اللغة الإنجليزية تجعل اللغات الأقل شهرة تختفي على مدار العام,0
194,الإبداع - يجب أن يعطى الحرية أو القيود,1
195,يجب أن يكون لدى الفنانين وعي ذاتي بعدم إنشاء أعمال مبتذلة أو مؤذية أو عديمة الفائدة والتي لا تخدم أي غرض,0
196,يجب أن يعرف الفنانون أيضًا عدم إيذاء مشاعر الناس,0
197,الأعمال المبتكرة تجعل الناس يدركون الأشياء بطريقة سلمية وينفثون في ضميرهم. يساعد في إثارة القضايا وانتقاد التصرفات الخاطئة للحكومات,0
198,الإبداع ينشأ في عقل حر. وبالتالي ، يجب منح الفنانين المبدعين حرية التعبير عن أفكارهم دون أي قيود,0
199,القيود ستحد من الأفكار المبتكرة للفنانين وستحد من أدمغتهم,0
200,المنافسة أو التعاون - أيهما أفضل,1
201,ساعدت المنافسة في تطوير العلم والتكنولوجيا,0
202,تساعد المنافسة في التحسين والتطور,0
203,المنافسة الصحية التي تنطوي على رفع مستوى المرء فوق الآخرين هو أفضل نهج,0
204,التعاون يساعد على فهم منظور الآخرين والتعلم من أخطائهم. فإن  يساعد على تحديد نقاط القوة والضعف لدى المرء مقارنة بالآخرين,0
205,سيوفر النهج التعاوني الوقت والطاقة وسيحقق معدل نجاح أعلى,0
206,تؤكد النظم التعليمية على تشجيع النهج التعاوني عند الأطفال,0
207,النهج التعاوني يساعد دائمًا الطفل على أن يصبح بالغًا مسؤولًا يتمتع بقيم أخلاقية جيدة ودائرة اجتماعية ودية,0
208,عقوبة الإعدام .. ضرورية أم لا,1
209,يجب على هيئة المحلفين أن تأخذ في الاعتبار ظروف ارتكاب جريمة,0
210,عقوبة الإعدام توفر الكثير من التمويل الحكومي الذي يضيع في الحفاظ على هؤلاء المجرمين المتشددين,0
211,عقوبة الإعدام تحد من إلهام وآفاق جرائم الكراهية الأخرى,0
212,عقوبة الإعدام تحمي المجتمع من المجرمين المتشددين,0
213,القوانين الصارمة ، مثل عقوبة الإعدام ، ضرورية في المجتمع,0
214,استراحة من الدراسة بين الدراسة الثانوية والجامعية في بعض البلدان تعتبر مضيعة للوقت,0
215,أن بعض الطلاب يستغلون هذا الوقت لإعداد الدورة الجامعية المطلوبة,0
216,إن الاسترخاء لمدة عام لعقول الشباب سيمنحهم تغييرًا جوهريًا,0
217,التوقف لمدة عام واحد مفيد للشباب بعد إنهاء دراستهم الثانوية,0
218,العمل غير المأجور للطلاب,1
219,بعض الشركات تستغل الطلاب للعمل لديهم بدون أجر,0
220,قد يكون لدى الطلاب فكرة قليلة عن التحديات الحقيقية أو الموقف الحقيقي عندما يدخلون سوق العمل بعد التخرج,0
221,يمكن للطلاب تعلم خبرات لا تقدر بثمن خلال فترة العمل في المؤسسات التي تم تكليفهم بها,0
222,دفع المزيد من المال هو الدافع الوحيد لجعل الموظفين يعملون بجد أكبر,1
223,يمكن أن يؤدي توفير بيئة أكثر أمانًا وراحة للعمال إلى زيادة إنتاجيتهم بشكل أساسي لأنهم سيشعرون بمزيد من الرعاية وبالتالي يبذلون قصارى جهدهم لرؤسائهم,0
224,لا شك أن الزيادة أو الترقية يمكن أن ترفع الروح المعنوية في أماكن العمل,0
225,أعتقد أن خلق بيئة عمل ممتعة أمر أكثر واقعية وأساسيًا إذا كان المرء يرغب في زيادة الإنتاجية وتحسين أداء الموظفين,0
226,الأحداث الرياضية تخفف التوترات الدولية وتطلق المشاعر الوطنية,1
227,الأحداث ربما لا تزيل المأسي التي ترتكبها بعض الدول في دول أخرى,0
228,كانت الحاجة إلى التجمع في مكان واحد والاستمتاع بالمنافسة مع الموهوبين الآخرين من مختلف الثقافات من خلال الألعاب الشعبية دائمًا دافعًا قويًا,0
229,من المتفق عليه أن الألعاب الرياضية واسعة النطاق تجعل الناس يركزون على المسابقات الجذابة بدلاً من النزاعات الدولية,0
230,يمكن للأشخاص الذين يعيشون في البلدان المتضررة بشدة أن ينسوا البيئة القاتمة وأن يحافظوا على صلة مع بقية العالم من خلال الاستماع إلى الأحداث الرياضية الدولية,0
231,الأحداث الرياضية العالمية تشارك بقوة في دفع الناس في النهاية نحو الصداقة والسلام,0
232,المصدر الرئيسي للطاقة اليوم هو الماء,0
233,إذا شجعت الحكومة على استخدام الطاقة النووية أو الشمسية أو طاقة الرياح,0
234,تطلق المصادر الأكثر استخدامًا حاليًا لتوليد الطاقة كمية كبيرة من الغازات في الغلاف الجوي مما يزيد من ظاهرة الاحتباس الحراري,0
235,يجب أن تكون الحكومات مسؤولة عن مساعدة العاطلين عن العمل والمشردين,1
236,أميل إلى الاعتقاد بأنها مسؤولية هؤلاء المواطنين المحرومين وليس الحكومة لمساعدتهم,0
237,جب أن تحظى معالجة البطالة بأولوية منخفضة,0
238,إذا تمكنوا من الحصول على مساعدة مالية مجانية من الحكومة فقد ينتهي بهم الأمر دون أي دافع للعمل على الإطلاق,0
239,هذا لا يعني أنه يجب علينا ترك أولئك الذين يحتاجون إلى المساعدة وشأنهم,0
240,الوظيفة الحقيقية للجامعة,1
241,سرعان ما أصبحت الجامعات الأماكن المناسبة للذهاب إليها عندما يسعى الناس إلى زيادة تطوير خبراتهم,0
242,توجد بعض الدورات التدريبية التي لها آثار مباشرة على البحث عن عمل وجوانب أخرى في الحياة اليومية,0
243,تعتبر الجامعات والمؤسسات التي تتجمع فيها موارد تعليمية وفيرة. لذلك ، ليس من الضروري تقديم دورة أو نوع معين من التدريب للطلاب من قبل الجامعة,0
244,يجب بناء حدائق الحيوان لحماية الحيوانات الريفية,1
245,الحيوانات محرومة من الحرية نتيجة البقاء في حدائق الحيوان,0
246,من حق الأنواع البرية أن تعيش في بيئة بعيدة عن البشر,0
247,الحياة البرية سيتم الاعتناء بها جيدًا من قبل المتخصصين,0
248,يجب أن تعيش الحيوانات في موائل طبيعية بدلاً من حدائق الحيوان,0
249,من مسؤوليتنا خلق بيئة طبيعية وآمنة للحيوانات لتعيش فيها,0
250,الأنواع المهددة بالانقراض المحفوظة في حدائق الحيوان لن تموت أبدًا من الصيد غير القانوني,0
