,text,lable
71,الإعلان عن السجائر والكحول سيؤثر بالتأكيد على أطفالنا بطريقة سلبية,0
72,العمل خارج المنزل سيحقق الكثير من الفوائد لكل من المرأة المتزوجة وأسرها,1
73,هناك العديد من الظروف الداعمة التي تساعد المرأة على تحقيق التوازن بين العمل المنزلي والعمل,1
74,يوفر التعليم الابتدائي والثانوي المعرفة والمهارات الأساسية للناس في هذا العالم,1
75,قد لا يكون لدى بعض الآباء ما يكفي من المال لدفع الرسوم الجامعية لأبنائهم,0
76,يمكن للطلاب الذين لديهم بالفعل معرفة أساسية وتعليم الحصول على وظيفة بدوام جزئي ويمكنهم دفع تكاليف   دراساتهم الخاصة عندما لا يستطيع والدهم دفعها,1
77,تؤدي الزيادة في عدد السيارات إلى التلوث البيئي,0
78,تؤدي الزيادة في عدد السيارات إلى ازدحام مروري رهيب,0
79,يصبح الهواء ملوثًا ويسبب أمراض الجهاز التنفسي للسكان المحليين,0
80,من الضروري تغيير السيارات إلى وسائل النقل الأخرى وسن تشريعات للتحكم في السيارات,0
81,فإن كمية كبيرة من المواد والأموال تجعل الدول الفقيرة فاسدة وتعتمد سياسياً على دول أخرى,0
82,يفضل بعض الناس الاعتراف بالعولمة كتهديد للقيم العرقية والدينية لأفراد بلادهم,0
83,لعولمة تعرض ثقافتهم الموروثة لخطر التغيير غير المنضبط وتجعلهم عرضة لهجوم الحكومات الإمبريالية,0
84,يمكن للناس الوصول بشكل أكبر إلى العديد من الموارد الطبيعية في العالم,1
85,فكرة العولمة إلى انخفاض كبير في التوتر العالمي بسبب تقارب فوائد الناس في العالم وهو نتيجة طبيعية للعولمة,1
86,تقدم المدارس للطلاب بيئة جيدة مع أساتذة ذوي خبرة وبرامج عالية الجودة للدراسة,1
87,توفر المدارس الكثير من المعرفة الأكاديمية للطلاب,1
88,غالبًا ما تكون ممتعة بصريًا ، لأنها تهدف إلى جذب انتباهك,1
89,يساعد الإعلان أيضًا في الحفاظ على الأسعار عند مستويات معقولة,1
90,الإعلانات يمكن أن تكون مزيفة ومبالغ فيها,0
91, نسمع بعض الأخبار من وقت لآخر عن إصابة شخص ما عن طريق الصدفة أثناء الصيد,0
92, ستخلق البنادق مجتمعًا عنيفًا إذا استمر هذا الاتجاه,0
93,ويجب على الحكومة فرض سلسلة من القوانين لمنع مجتمعاتنا من العنف,1
94,السلاح بالتأكيد ليس نوعًا من الخير الطبيعي في مجتمعنا,1
95,يؤدي تقدم تكنولوجيا المواد إلى انخفاض حاد في أسعار عدد كبير من المنتجات,1
96,يمكن لمعظم أفراد مجتمعنا الاستفادة من نتائج التطورات التقنية ، وخاصة الفقراء,1
97,تتسع الفجوة بين الأغنياء والفقراء من خلال التكنولوجيا,0
98,يمكن اكتشاف العديد من الحقائق حول النظام الشمسي,1
99,يمكن اختراع قدر كبير من التكنولوجيا المتطورة. نظرًا لأن رواد الفضاء يحتاجون إلى السفر إلى الفضاء الخارجي الذي لا يحتوي على أي أكسجين للتنفس ,1
100,توفر لهم الوظائف بدوام جزئي فرصة ثمينة لممارسة ما يتعلمونه في جامعاتهم,1
101,يساعد القيام بوظائف إضافية الطالب في الحصول على أموال مقابل إقامتهم,1
102,يساعد القيام بوظائف إضافية الطالب في الحصول على أموال مقابل إقامتهم,1
103,نظرًا لأن كلا الجنسين متساويان في الأهمية ، يجب منح كلا الجنسين فرصًا متساوية,1
104,يعتقد بعض الرجال الشوفينيين أن النساء غير قادرات في مجالات معينة ، مثل الرياضيات والهندسة الميكانيكية والدفاع وما إلى ذلك,0
105,لعبت الألعاب دورًا رئيسيًا في نمو الأطفال ، خاصة من حيث قدراتهم,1
106,أعتقد أن الألعاب التقليدية لا تزال لا غنى عنها في عملية تعلم الأطفال ، بل إنها أكثر أهمية من الألعاب الحديثة ، خاصة في المجتمع الحديث,0
107,يجادل بعض الناس بأن الحكومة يجب أن تستثمر أكثر في الرعاية الطبية والتعليم بدلاً من الترفيه أو المرافق الرياضية,1
108,لمرافق الترفيهية مثل دور السينما والمسارح والملاعب الرياضية موجهة في الغالب للربح. يعتمد وجودهم على استراتيجياتهم التسويقية وحالة المرافق وحجم الجمهور,0
109,يشعر بعض الناس بالقلق من أن التكنولوجيا الحديثة قد تكون عقبة أمام الحفاظ على التقنيات وأنماط الحياة التقليدية,0
110,سأستنتج أن التكنولوجيا تدعم بالفعل الحفاظ على التقنيات وأنماط الحياة التقليدية وتعزيزها,1
111,يجلب الفنانون المبتكرون المتعة والإلهام لحياتنا المملة في بعض الأحيان,0
112,يرى بعض الناس أن الفنانين قد عهد إليهم بالكثير من الحرية والسلطة ويجب أن يتم تقييدهم من قبل الحكومة,1
113,أدى ارتفاع معدل الجريمة إلى اقتراح أن الوقت قد حان للحكومة لاتخاذ إجراءات للسيطرة على انتشار مشاهد العنف في وسائل الإعلام,0
114,تعتبر وسائل الإعلام ، مثل التلفزيون أو الفيلم ، مصدر المعلومات الصحيح الذي تنظمه الحكومة,1
115,لقد انفتحت النساء على فرص أكثر من أي وقت مضى,0
116,فإن كل شيء له جانب إيجابي وسلبي ، يجب على المرأة أن تجد أفضل طريقة للتغلب على مثل هذه التحديات,1
117,نظرًا لأن آثار تلك القضايا المتعلقة بالتلوث والمرور بعيدة المدى للغاية ، فليس من الكافي زيادة سعر البنزين فقط لحل المشكلات,0
118,يجب الحفاظ على هذه التطورات في الزراعة من أجل منفعة جميع البشر,1
119,الطعام المعدل وراثيًا يقطع التوازن الطبيعي للنظام البيئي ويعود ليطاردنا بطرق غير متوقعة,0
120,قد تكون الابتكارات في الزراعة مثل الزراعة الآلية وابتكارات أغذية الهندسة الوراثية هي الطريقة الوحيدة لإطعام العدد الهائل من الناس في كل ركن من أركان العالم,1
121,مع تطور العولمة ، أصبحت اللغة الإنجليزية هي اللغة المهيمنة في التجارة الوطنية ، والمؤتمرات والعديد من الأحداث الهامة,0
122,يعتقد المعارضون أن الوضع المهيمن للغة الإنجليزية قد دمر التنوع الثقافي وانقرضت العديد من اللغات الأقل استخدامًا,0
123,انتشار اللغة الإنجليزية يعزز التواصل والتفاعل بين مختلف البلدان بشكل أكثر ملاءمة ووضوحًا,1
124,يجب الدعوة إلى اللغة الإنجليزية كلغة أنيقة في العديد من المجالات لتوسيع التجارة العالمية والاتصالات,1
125,يشعر الآخرون بالقلق من عدم إساءة استخدام الحيوانات,0
126,يستغل العديد من المزارعين والملاك الحيوانات بما يتجاوز حدودهم. على سبيل المثال ، غالبًا ما يتم حقن الأبقار بواسطة الأوكسيتوسين ، وهو هرمون يستخدم لزيادة الرضاعة بالقوة. وهذا بدوره يسبب الكثير من الانزعاج والألم للماشية,0
127,دفع الإنسان العديد من الحيوانات لاستخدامها الشخصي مثل الأبقار وغيرها من الحيوانات الحلوب لإنتاج الحليب منها,1
128,يشجع الكثير من الناس على استخدام الحيوانات لتلبية احتياجاتهم الشخصية,1
129,قام الإنسان بتدجين عدد كبير من الحيوانات والطيور واستفاد منها ليجعل الحياة أسهل وأكثر راحة لنفسه,1
130,يجب أن يتصرف الإنسان كوصي على الحيوانات بدلاً من أن يتصرف بصفته ربها أو أسيادها,0
131,أهمية المتاحف والمعارض الفنية واضحة من حيث التعليم والثقافة,0
132,لا يمكن عرض المعروضات الأصلية بالكامل بالصور ومقاطع الفيديو فقط,0
133,السفر إلى مكان ما أفضل بكثير من مشاهدة المناظر الطبيعية لذلك المكان على التلفزيون أو الصور,0
134,من الشائع جدًا أن المزيد والمزيد من الناس يمكنهم مشاهدة المعارض من خلال التلفزيون أو الإنترنت في المنزل بسبب التكنولوجيا الحديثة,1
135,من الواضح أن الأشخاص الذين يشاهدون المعارض على التلفزيون أو الإنترنت في المنزل ، يوفرون الوقت والمال على الطريق,1
136,لا يمكن إنكار أن التركيز على موضوع واحد يمكن أن يقلل من ضغط الطلاب ويعزز الفعالية في تدريب المواهب,0
137,لا يزال العديد من المراهقين غير قادرين على الاستمتاع بتنوع المناهج الدراسية,0
138,إن الجمع بين المواد الصعبة والسهلة يوازن بين إجهاد العمل المدرسي ويعزز حماسهم في الفصول الدراسية,1
139,مع بعض المعرفة الأساسية للمجالات المتنوعة ، يكون لدى الطلاب المزيد من الخيارات في اختيار المجالات أو الوظائف المتخصصة في المستقبل,1
140,من المقبول عمومًا أن يتعلم الطلاب أكثر من ثمانية مواد في المدرسة,1
141,إنها مسألة حقيقة أن تزايد لغات الأقليات قد تضاءل من العالم بسبب انتشار اللغة الإنجليزية,1
142,المعارضين قد يلومون أن اللغة الإنجليزية تجعل اللغات الأقل شهرة تختفي على مدار العام,0
143,يجب أن يكون لدى الفنانين وعي ذاتي بعدم إنشاء أعمال مبتذلة أو مؤذية أو عديمة الفائدة والتي لا تخدم أي غرض,0
144,يجب أن يعرف الفنانون أيضًا عدم إيذاء مشاعر الناس,0
145,الأعمال المبتكرة تجعل الناس يدركون الأشياء بطريقة سلمية وينفثون في ضميرهم. يساعد في إثارة القضايا وانتقاد التصرفات الخاطئة للحكومات,0
146,الإبداع ينشأ في عقل حر. وبالتالي ، يجب منح الفنانين المبدعين حرية التعبير عن أفكارهم دون أي قيود,0
147,القيود ستحد من الأفكار المبتكرة للفنانين وستحد من أدمغتهم,0
148,ساعدت المنافسة في تطوير العلم والتكنولوجيا,0
149,تساعد المنافسة في التحسين والتطور,0
150,المنافسة الصحية التي تنطوي على رفع مستوى المرء فوق الآخرين هو أفضل نهج,0
151,التعاون يساعد على فهم منظور الآخرين والتعلم من أخطائهم. فإن  يساعد على تحديد نقاط القوة والضعف لدى المرء مقارنة بالآخرين,1
152,سيوفر النهج التعاوني الوقت والطاقة وسيحقق معدل نجاح أعلى,0
153,تؤكد النظم التعليمية على تشجيع النهج التعاوني عند الأطفال,0
154,النهج التعاوني يساعد دائمًا الطفل على أن يصبح بالغًا مسؤولًا يتمتع بقيم أخلاقية جيدة ودائرة اجتماعية ودية,1
155,يجب على هيئة المحلفين أن تأخذ في الاعتبار ظروف ارتكاب جريمة,0
156,عقوبة الإعدام توفر الكثير من التمويل الحكومي الذي يضيع في الحفاظ على هؤلاء المجرمين المتشددين,0
157,عقوبة الإعدام تحد من إلهام وآفاق جرائم الكراهية الأخرى,1
158,عقوبة الإعدام تحمي المجتمع من المجرمين المتشددين,0
159,القوانين الصارمة ، مثل عقوبة الإعدام ، ضرورية في المجتمع,0
160,استراحة من الدراسة بين الدراسة الثانوية والجامعية في بعض البلدان تعتبر مضيعة للوقت,0
161,أن بعض الطلاب يستغلون هذا الوقت لإعداد الدورة الجامعية المطلوبة,1
162,إن الاسترخاء لمدة عام لعقول الشباب سيمنحهم تغييرًا جوهريًا,1
163,التوقف لمدة عام واحد مفيد للشباب بعد إنهاء دراستهم الثانوية,1
164,بعض الشركات تستغل الطلاب للعمل لديهم بدون أجر,0
165,قد يكون لدى الطلاب فكرة قليلة عن التحديات الحقيقية أو الموقف الحقيقي عندما يدخلون سوق العمل بعد التخرج,1
166,يمكن للطلاب تعلم خبرات لا تقدر بثمن خلال فترة العمل في المؤسسات التي تم تكليفهم بها,1
167,يمكن أن يؤدي توفير بيئة أكثر أمانًا وراحة للعمال إلى زيادة إنتاجيتهم بشكل أساسي لأنهم سيشعرون بمزيد من الرعاية وبالتالي يبذلون قصارى جهدهم لرؤسائهم,0
168,لا شك أن الزيادة أو الترقية يمكن أن ترفع الروح المعنوية في أماكن العمل,1
169,أعتقد أن خلق بيئة عمل ممتعة أمر أكثر واقعية وأساسيًا إذا كان المرء يرغب في زيادة الإنتاجية وتحسين أداء الموظفين,0
170,الأحداث ربما لا تزيل المأسي التي ترتكبها بعض الدول في دول أخرى,0
171,كانت الحاجة إلى التجمع في مكان واحد والاستمتاع بالمنافسة مع الموهوبين الآخرين من مختلف الثقافات من خلال الألعاب الشعبية دائمًا دافعًا قويًا,1
172,من المتفق عليه أن الألعاب الرياضية واسعة النطاق تجعل الناس يركزون على المسابقات الجذابة بدلاً من النزاعات الدولية,1
173,يمكن للأشخاص الذين يعيشون في البلدان المتضررة بشدة أن ينسوا البيئة القاتمة وأن يحافظوا على صلة مع بقية العالم من خلال الاستماع إلى الأحداث الرياضية الدولية,1
174,الأحداث الرياضية العالمية تشارك بقوة في دفع الناس في النهاية نحو الصداقة والسلام,1
175,المصدر الرئيسي للطاقة اليوم هو الماء,1
176,إذا شجعت الحكومة على استخدام الطاقة النووية أو الشمسية أو طاقة الرياح,1
177,تطلق المصادر الأكثر استخدامًا حاليًا لتوليد الطاقة كمية كبيرة من الغازات في الغلاف الجوي مما يزيد من ظاهرة الاحتباس الحراري,0
178,أميل إلى الاعتقاد بأنها مسؤولية هؤلاء المواطنين المحرومين وليس الحكومة لمساعدتهم,0
179,جب أن تحظى معالجة البطالة بأولوية منخفضة,0
180,إذا تمكنوا من الحصول على مساعدة مالية مجانية من الحكومة فقد ينتهي بهم الأمر دون أي دافع للعمل على الإطلاق,0
181,هذا لا يعني أنه يجب علينا ترك أولئك الذين يحتاجون إلى المساعدة وشأنهم,1
182,سرعان ما أصبحت الجامعات الأماكن المناسبة للذهاب إليها عندما يسعى الناس إلى زيادة تطوير خبراتهم,1
183,توجد بعض الدورات التدريبية التي لها آثار مباشرة على البحث عن عمل وجوانب أخرى في الحياة اليومية,1
184,تعتبر الجامعات والمؤسسات التي تتجمع فيها موارد تعليمية وفيرة. لذلك ، ليس من الضروري تقديم دورة أو نوع معين من التدريب للطلاب من قبل الجامعة,0
185,الحيوانات محرومة من الحرية نتيجة البقاء في حدائق الحيوان,0
186,من حق الأنواع البرية أن تعيش في بيئة بعيدة عن البشر,0
187,الحياة البرية سيتم الاعتناء بها جيدًا من قبل المتخصصين,1
188,يجب أن تعيش الحيوانات في موائل طبيعية بدلاً من حدائق الحيوان,1
189,من مسؤوليتنا خلق بيئة طبيعية وآمنة للحيوانات لتعيش فيها,1
190,الأنواع المهددة بالانقراض المحفوظة في حدائق الحيوان لن تموت أبدًا من الصيد غير القانوني,1
