text	lable
سماعتي بحوزتك منذ أمس هل يمكنك إرسالها لي من فضلك	0
حلقة الغد ستكون غنية بالإثارة و التشويق	0
عمران طالب مجتهد و مجد في دراسته	0
هل ستصبح الصحف شيئاً من الماضي؟	1
شهدت وسائل الإعلام المطبوعة مثل الصحف انخفاضًا كبيرًا في عدد القراء	1
شراءالصحف يعدإهدارًا للمال عندما يصبح الإنترنت متاحًا للجميع	1
نقطة أخرى هي أنه ، من الناحية الاقتصادية ، يبدو أن شراء الصحف يعد إهدارًا للمال عندما يصبح الإنترنت متاحًا للجميع	1
يحب بعض الناس قراءة الصحف لأنها تشعرهم بالمتعة أكثر من قراءة الأخبار من الإنترنت	1
بعد قراءة الصحف يمكن ن تستخدم في أعمال أخرى	1
تعد قراءة الصحف صحية أكثر من قراءة الأخبار من شاشة تلفاز أو هاتف أو غيرها	1
المساء مخصص لقراءة قصص ما قبل النوم	0
أفضّل النوم على جانبي الأيمن لأنه يشعرني براحة أثناء النوم	0
متى سينتهي عملنا في هذا المكان؟	0
ما رأيكم بالذهاب في رحلة مع نهاية السنة الحالية و بداية السنة الجديدة؟	0
تلقيت اليوم و بفضل الله الجرعة الأولى من لقاح كورونا	0
لا أنكر أنك صاحب الحق في هذا العمل	0
وضع الكهربا يسوء يوم بعد يوم	0
التكنولوجيا لا تستطيع أن تحل كل مشاكل العالم!	1
إن التكنولوجيا ليست الحل الأفضل لجميع مشاكل العالم المعقدة	1
عدم وجود خلاف على حقيقة أن التكنولوجيا مهمة جدًا لحياتنا	1
أعتقد بقوة أن مزاياها تفوق بوضوح عيوبها ، ويمكنها أن تساهم بشكل كبير في تنمية العالم	1
هناك بعض المشاكل الخطيرة التي تنشأ من التكنولوجيا الحديثة	1
أنا ادرس بجد كي اعمل في المكان الذي أحلم به	0
لا يمكنك الذهاب متى شئت دون أن تستأذن من أمك	0
طاهر يحب مشاهدت الأسماك في الحوض لكنه يخاف لمسها	0
كم درساً عليك أن تتعلم لتصبح حكيماً	0
أمضيت نصف وقتي و أنا اصنع هذه البيانات	0
مسألة عدم الزواج من نفس الجنس	1
لا يوجد أي سبب قانوني أو منطقي أو حاكم على الإطلاق يمنع الأزواج من نفس الجنس ، ومن غير الدستوري تمامًا في كل الأحوال إخبارهم بأنهم لا يستطيعون ذلك	1
الأشخاص الذين ينجذبون إلى نفس الجنس يشعرون بالدونية ويبدون أدنى من الآخرين	1
ما رأيك بتجربة الأكل في هذا المطعم	0
يجب على الجميع الذهاب للتخييم	1
يعد قضاء الوقت في التخييم طريقة رائعة لتنشيط الرئتين	1
جزء آخر رائع عن التخييم هو التواجد في الخارج تحت أشعة الشمس	1
يتيح التخييم لأي شخص إمكانية الذهاب إلى أماكن لم يسبق لها مثيل من قبل	1
التخييم له متطلبات مادية قد لا يمكن تحملها	1
التخييم في أماكن لا يجب التخييم بها قد يعود بمشكلات نحن بغنىً عنها	1
نسبة كبيرة من التلوث في الطبيعة سببه المخييمين الغير مهذبين	1
أحمد يعمل على مشروع الروبوتية منذ الصباح الباكر	0
عمير يأخذ استراحة من العمل حالياً	0
غسان أنهى ما طُلِبَ منه على أكمل وجه	0
حسن لا يمكن التفاهم معه على الإطلاق	0
أنا أجلس بالمدرج الخامس لأنه موقعي المفضل	0
أحلم بالتخييم في مكان لا يراني فيه أحد	0
في أخر رحلة تخييم شاهدنا الأسماك الملونة	0
لا تقوم المدارس بفحص الخزانة	1
الفحوصات مطلوبة لأن الطلاب الخبثاء يجلبون المخدرات والأسلحة إلى المدرسة ويخزنونها في الخزائن	1
تساعد عمليات فحص الخزانة على زيادة السلامة في المدارس	1
تساعد عمليات التحقق من الخزانة الطلاب على البقاء بصحة جيدة جسديًا وعقليًا لأنها تثني الطلاب عن إحضار الأسلحة النارية وخاصة المخدرات	1
فحص خزائن الطلاب يعتبرانتهاك لخصوصياتهم	1
بعض الطلاب تخبئ في الخزانة أغلاض لا ترغب لأحد أن يراها	1
خزائن الفتيات يجب أن تكون خصوصية قصوى و لا ينبغي على أحد رؤية ما بداخلها	1
حياة المدرسة جميلة مع الأصدقاء	0
دائما ما كان ينال الدرجات عُليا في جميع المواد	0
القاعات ممتلئ بالطلاب المهتمين	0
متى سأراك مجدداً؟	0
لا تحارب بناظريك خافقي	0
جهازي يعمل بشكل مثالي دون أي أعطال	0
مازال يحاول جاهداً لكنه في كل مرة يفشل فشلاً ذريعاً	0
الكمبيوتر يحل محل القوة البشرية في الوظائف	1
مع الاتجاه الحالي للتكنولوجيا المتغيرة باستمرار ، لا يمكن إنكار إمكانية استبدال العديد من الوظائف	1
صحيح أن التكنولوجيا وأجهزة الكمبيوتر تجعل وظائفهم أسهل ، لكنها بالتأكيد لا يمكن أن تحل محلها	1
شاحن عمير من النوع الفاخر	0
استخدام الحيوانات لمنفعة البشر	1
مع التطور السريع لمستوى حياة الناس ، يتم إجراء عدد متزايد من التجارب على الحيوانات ، مثل الأدوية والأطعمة الجديدة	1
يقول بعض المعارضين إنه أمر قاس على الحيوانات والطبيعة	1
أملك حيواناً أليفاً	0
يجب على الدول الغنية مساعدة الدول الفقيرة	1
لتخفيف هذا الاختلاف ومساعدة البلدان الأقل ثراءً ، يجب على الدول الأغنى أن تبذل جهودًا لتحسين المجالات المهمة في البلدان الأقل ثراءً	1
وجود الاختلاف بين الدول يعتبر محرك أساسي للعمل و السعي للتطور	0
المساواة بين الجنسين في القبول الجامعي	1
في الوقت الحاضر ، يشارك الرجال والنساء على قدم المساواة في كل مجال	1
في الماضي ، كانت النساء يعملن في المنزل ويؤدين عملاً متطورًا	1
علينا أن ننهي عملنا على أكمل وجه	0
هل المتاحف كشكل من أشكال الترفيه؟	1
هل المتاحف كشكل من أشكال التعليم؟	1
يقول بعض الناس أن زيارة المتاحف ليست سوى شكل من أشكال الترفيه	1
يختلف آخرون ، بحجة أن المتاحف تلعب دورًا في التعليم	1
ما رأيكم أن نزور جدتنا في عطلة نهاية الأسبوع	0
الإعلانات تؤثر على السلع الاستهلاكية	1
الطريقة الأكثر فعالية لإقناع المستهلكين بشراء منتج هي من خلال الإعلان	0
قد يكون العمل لساعات متأخرة ممتعاً في بعض الأحيان	0
يجب أن يذهب الشباب إلى الجامعة	1
وفيما يتعلق بتنمية الدولة ، يعتقد البعض أنه من الضروري للطلاب الصغار الحصول على تعليم عالي الجودة في الجامعات	1
هناك العديد من فرص العمل لأولئك الذين ليس لديهم شهادة التخرج من الجامعة ، مثل الميكانيكيين أو مندوبي المبيعات	1
متى سنكون بخير	0
تأثيرات الهواتف المحمولة	1
جلبت شعبية الهواتف المحمولة الكثير من الراحة	1
يسود ذعر بين الناس من أن محادثتهم يمكن أن يعترضها الطرف الثالث	1
سنجلس حتى يحين موعد الرحيل	0
الكمبيوتر له آثار سلبية على الأطفال	1
يعتقد بعض الناس أن الكمبيوتر مفيد للأطفال ويجب استخدامه يوميًا من قبل الأطفال	1
استخدام الكمبيوتر باستمرار له تأثير سيء على عيون الأطفال	1
الأطفال الذين يمارسون الألعاب كثيرًا على الكمبيوتر قد يفتقرون بشكل خطير إلى مهارات الاتصال ، ولن يعرفوا سوى القليل عن الحياة الخارجية	1
سأكتب حتى تهتف الأوراق باسمي	0
أصبح إنشاء مصانع كبيرة بالقرب من المناطق السكنية مسألة مثيرة للجدل في مجتمعنا	1
تعتبر المباني الصناعية جزءًا ضروريًا من المجتمع الحديث	1
يعارض عدد كبير من الناس بناء مصنع بالقرب من مجتمعهم بسبب التلوث	1
صيدقي محمد في زيارتي اليوم	0
أنام على جنبي الأيمن	0
أشرب الكثير من الماء بعد الطعام	0
طعام مجهز مسبقا	1
يبدأ المزيد والمزيد من الناس في اختيار الأطعمة الجاهزة كوجباتهم اليومية	1
لكن من الواضح أن الطعام المطبوخ يمكن أن يحدث بعض التأثير السلبي الناتج عن استخدام المكونات الاصطناعية وتجاهل تغذية الطعام وتعديل عادات الأكل لدى الناس	1
سامي كان جالس مع أصحابه اليوم	0
ذهب عبد القادر إلى العمل اليوم	0
المساعدات المالية للدول النامية	1
هناك فجوة متزايدة بين البلدان المتقدمة والبلدان النامية	1
تفتقر معظم البلدان النامية إلى الموارد التعليمية	1
التعليم جزء أساسي في التنمية	0
تقدم مساعدات مالية للدول الفقيرة	0
يجب على المجتمع حظر جميع أشكال الإعلان	1
فهي تتسبب فقط في الإضرار بالمجتمع ويجب حظر جميع أشكال الإعلان	1
بفضل الإعلانات التي نتعرف عليها حول المنتجات الجديدة ، يمكننا مقارنتها واختيار الأفضل بالنسبة لنا	1
الإعلان عن السجائر والكحول سيؤثر بالتأكيد على أطفالنا بطريقة سلبية	1
يتعين على الحكومات أيضًا الاعتماد على الإعلانات	0
أنا أؤيد فكرة حظر الإعلان عن الكحول والسجائر	0
الإعلان أصبح جزءًا لا يتجزأ من حياتنا الحديثة	0
هل تعمل المرأة المتزوجة عادة؟ لماذا ولماذا لا؟	1
العمل خارج المنزل سيحقق الكثير من الفوائد لكل من المرأة المتزوجة وأسرها	1
هناك العديد من الظروف الداعمة التي تساعد المرأة على تحقيق التوازن بين العمل المنزلي والعمل	1
يمكن للمرأة المتزوجة الذهاب إلى العمل للاستمتاع بالحياة العملية خارج المنزل	0
النساء المتزوجات في الوقت الحاضر لهن الحق في تولي وظائف مثل الرجال	0
الحكومة والتعليم	1
يوفر التعليم الابتدائي والثانوي المعرفة والمهارات الأساسية للناس في هذا العالم	1
قد لا يكون لدى بعض الآباء ما يكفي من المال لدفع الرسوم الجامعية لأبنائهم	1
يمكن للطلاب الذين لديهم بالفعل معرفة أساسية وتعليم الحصول على وظيفة بدوام جزئي ويمكنهم دفع تكاليف   دراساتهم الخاصة عندما لا يستطيع والدهم دفعها	0
الحكومة كانت تدفع الكثير من المال لتعليم طلابها الابتدائي والثانوي	0
تقديم بعض المساهمات أيضًا لمستقبل أطفالهم	0
الحكومة لا ينبغي أن تدفع رسوم الجامعة	0
وسائل نقل بديلة للتخفيف من الازدحام المروري	1
تؤدي الزيادة في عدد السيارات إلى التلوث البيئي	1
تؤدي الزيادة في عدد السيارات إلى ازدحام مروري رهيب	1
يصبح الهواء ملوثًا ويسبب أمراض الجهاز التنفسي للسكان المحليين	1
من الضروري تغيير السيارات إلى وسائل النقل الأخرى وسن تشريعات للتحكم في السيارات	1
القوانين الدولية المتعلقة بالتحكم في السيارات ضرورية	0
ينبغي النظر في أشكال بديلة من النقل في ضوء التلوث البيئي	0
يجبرنا على إضاعة وقتنا لفترة من الوقت	0
وتخفيف الازدحام المروري	0
إن تقديم المساعدة إلى البلدان الفقيرة له آثار سلبية أكثر من التأثير الإيجابي	1
فإن كمية كبيرة من المواد والأموال تجعل الدول الفقيرة فاسدة وتعتمد سياسياً على دول أخرى	1
سيجعل الأرض مكانًا أفضل للعيش فيه	0
تأمل الناس في البلدان الغنية مع الفقراء الذين يعانون من الفقر والأمراض	0
آثار العولمة (انخفاض في التوتر العالمي)	1
يفضل بعض الناس الاعتراف بالعولمة كتهديد للقيم العرقية والدينية لأفراد بلادهم	1
لعولمة تعرض ثقافتهم الموروثة لخطر التغيير غير المنضبط وتجعلهم عرضة لهجوم الحكومات الإمبريالية	1
يمكن للناس الوصول بشكل أكبر إلى العديد من الموارد الطبيعية في العالم	1
فكرة العولمة إلى انخفاض كبير في التوتر العالمي بسبب تقارب فوائد الناس في العالم وهو نتيجة طبيعية للعولمة	1
من المرجح أن تحل مشاكل العالم بدلاً من تكثيفها	0
كل تغيير له جوانبه الإيجابية والسلبية	0
انخفاض كبير في التوتر العالمي	0
للعولمةآثار إيجابية وسلبية	0
الدراسة في المدرسة أو الحصول على وظيفة؟	1
تقدم المدارس للطلاب بيئة جيدة مع أساتذة ذوي خبرة وبرامج عالية الجودة للدراسة	1
توفر المدارس الكثير من المعرفة الأكاديمية للطلاب	1
يمكن للأطفال تعلم المهارات الاجتماعية	0
مغادرة المدرسة مبكرًا للعثور على وظيفة	0
تعكس المبيعات المرتفعة قوة الإعلان وليس الحاجة الحقيقية	1
غالبًا ما تكون ممتعة بصريًا ، لأنها تهدف إلى جذب انتباهك	1
يساعد الإعلان أيضًا في الحفاظ على الأسعار عند مستويات معقولة	1
الإعلانات يمكن أن تكون مزيفة ومبالغ فيها	1
الإعلانات تملأ الشوارع	0
تضخ الشركات مبلغًا كبيرًا من المال في الإعلانات	0
لا يمكننا إنكار أن القرار النهائي في أيدينا نحن المستهلكين	0
السيطرة على السلاح	1
 نسمع بعض الأخبار من وقت لآخر عن إصابة شخص ما عن طريق الصدفة أثناء الصيد	1
 ستخلق البنادق مجتمعًا عنيفًا إذا استمر هذا الاتجاه	1
ويجب على الحكومة فرض سلسلة من القوانين لمنع مجتمعاتنا من العنف	1
السلاح بالتأكيد ليس نوعًا من الخير الطبيعي في مجتمعنا	1
التكنولوجيا التي توسع الفجوة بين الأغنياء والفقراء؟	1
يؤدي تقدم تكنولوجيا المواد إلى انخفاض حاد في أسعار عدد كبير من المنتجات	1
يمكن لمعظم أفراد مجتمعنا الاستفادة من نتائج التطورات التقنية ، وخاصة الفقراء	1
تتسع الفجوة بين الأغنياء والفقراء من خلال التكنولوجيا	1
لا إله إلا الله	0
لماذا يجب أن يسافر البشر إلى الفضاء الخارجي؟	1
يمكن اكتشاف العديد من الحقائق حول النظام الشمسي	1
يمكن اختراع قدر كبير من التكنولوجيا المتطورة. نظرًا لأن رواد الفضاء يحتاجون إلى السفر إلى الفضاء الخارجي الذي لا يحتوي على أي أكسجين للتنفس	1
كان الفضاء الخارجي أحد أكثر مجالات الدراسة ملاءمة	0
تم إطلاق رحلات الفضاء وحقق العديد منها نجاحًا	0
فوائد قيام الطلاب بوظائف إضافية	1
توفر لهم الوظائف بدوام جزئي فرصة ثمينة لممارسة ما يتعلمونه في جامعاتهم	1
يساعد القيام بوظائف إضافية الطالب في الحصول على أموال مقابل إقامتهم	1
يساعد القيام بوظائف إضافية الطالب في الحصول على أموال مقابل إقامتهم	1
يتعرض الطلاب عادةً لوظائف إضافية بمجرد بدء جامعتهم	1
يمكن اكتساب ثقة الطلاب بشكل كبير	1
غالبًا الآباءيقدمون الأفضل	0
هل يجب أن تقبل الجامعات عددًا متساويًا من الذكور / الإناث	1
نظرًا لأن كلا الجنسين متساويان في الأهمية ، يجب منح كلا الجنسين فرصًا متساوية	1
يعتقد بعض الرجال الشوفينيين أن النساء غير قادرات في مجالات معينة ، مثل الرياضيات والهندسة الميكانيكية والدفاع وما إلى ذلك	1
إنه يوم جميل للنزهة	0
الألعاب التقليدية أو الألعاب الحديثة في تنمية مهارات الأطفال	1
لعبت الألعاب دورًا رئيسيًا في نمو الأطفال ، خاصة من حيث قدراتهم	1
أعتقد أن الألعاب التقليدية لا تزال لا غنى عنها في عملية تعلم الأطفال ، بل إنها أكثر أهمية من الألعاب الحديثة ، خاصة في المجتمع الحديث	1
أريدك أن تكون دائماً سعيد	0
لا ينبغي للحكومة أن تخصص أموالاً في بناء المسارح أو الملاعب الرياضية	1
يجادل بعض الناس بأن الحكومة يجب أن تستثمر أكثر في الرعاية الطبية والتعليم بدلاً من الترفيه أو المرافق الرياضية	1
لمرافق الترفيهية مثل دور السينما والمسارح والملاعب الرياضية موجهة في الغالب للربح. يعتمد وجودهم على استراتيجياتهم التسويقية وحالة المرافق وحجم الجمهور	1
سنبدأ بتناول الفطور حالاً	0
يعيش الناس في القرن الحادي والعشرين ، ولديهم قناعة راسخة بأن التكنولوجيا هي القوة الدافعة الرئيسية وراء الإنتاجية	1
يشعر بعض الناس بالقلق من أن التكنولوجيا الحديثة قد تكون عقبة أمام الحفاظ على التقنيات وأنماط الحياة التقليدية	1
سأستنتج أن التكنولوجيا تدعم بالفعل الحفاظ على التقنيات وأنماط الحياة التقليدية وتعزيزها	1
رضوان يمتلك قوة لغوية جيدة	0
الفنانين المبدعين	1
يجلب الفنانون المبتكرون المتعة والإلهام لحياتنا المملة في بعض الأحيان	1
يرى بعض الناس أن الفنانين قد عهد إليهم بالكثير من الحرية والسلطة ويجب أن يتم تقييدهم من قبل الحكومة	1
أحب النظر إلى رسوماتك	0
يجب أن تسيطر الحكومة على جرائم الإعلام	1
أدى ارتفاع معدل الجريمة إلى اقتراح أن الوقت قد حان للحكومة لاتخاذ إجراءات للسيطرة على انتشار مشاهد العنف في وسائل الإعلام	1
تعتبر وسائل الإعلام ، مثل التلفزيون أو الفيلم ، مصدر المعلومات الصحيح الذي تنظمه الحكومة	1
متى رأيت أخاك البارحة؟	0
في الوقت الحاضر ، توجد فرص للنساء أكثر مما كانت عليه في الماضي	1
لقد انفتحت النساء على فرص أكثر من أي وقت مضى	1
فإن كل شيء له جانب إيجابي وسلبي ، يجب على المرأة أن تجد أفضل طريقة للتغلب على مثل هذه التحديات	0
لا تجادلني في ما لا تعلم	0
يمكن السيطرة على تزايد حركة المرور والتلوث عن طريق زيادة أسعار البنزين	1
نظرًا لأن آثار تلك القضايا المتعلقة بالتلوث والمرور بعيدة المدى للغاية ، فليس من الكافي زيادة سعر البنزين فقط لحل المشكلات	1
سنذهب إلى حيث تشاء	0
إيجابيات وسلبيات التطورات في الزراعة	1
يجب الحفاظ على هذه التطورات في الزراعة من أجل منفعة جميع البشر	1
الطعام المعدل وراثيًا يقطع التوازن الطبيعي للنظام البيئي ويعود ليطاردنا بطرق غير متوقعة	1
قد تكون الابتكارات في الزراعة مثل الزراعة الآلية وابتكارات أغذية الهندسة الوراثية هي الطريقة الوحيدة لإطعام العدد الهائل من الناس في كل ركن من أركان العالم	1
الزراعة هي جزء أساسي في هذا الكون	0
الثورة الصناعية ربما غيرت الكثير من واقعنا	0
مزايا وعيوب السائدة في اللغة الإنجليزية	1
مع تطور العولمة ، أصبحت اللغة الإنجليزية هي اللغة المهيمنة في التجارة الوطنية ، والمؤتمرات والعديد من الأحداث الهامة	1
يعتقد المعارضون أن الوضع المهيمن للغة الإنجليزية قد دمر التنوع الثقافي وانقرضت العديد من اللغات الأقل استخدامًا	1
انتشار اللغة الإنجليزية يعزز التواصل والتفاعل بين مختلف البلدان بشكل أكثر ملاءمة ووضوحًا	1
يجب الدعوة إلى اللغة الإنجليزية كلغة أنيقة في العديد من المجالات لتوسيع التجارة العالمية والاتصالات	1
في العصور القديمة ، وضعت اللغات والجغرافيا المختلفة حواجز أمام الناس لتبادل سلعهم وأفكارهم	0
أدى ابتكار الطائرة والقطار إلى حل الحواجز الجغرافية	0
اللغة الإنجليزية هي لغة جميلة	0
لا جدال في أن اللغة تحتوي على العديد من جوانب الحياة اليومية للناس	0
تدجين الحيوانات	1
يشعر الآخرون بالقلق من عدم إساءة استخدام الحيوانات	1
يستغل العديد من المزارعين والملاك الحيوانات بما يتجاوز حدودهم. على سبيل المثال ، غالبًا ما يتم حقن الأبقار بواسطة الأوكسيتوسين ، وهو هرمون يستخدم لزيادة الرضاعة بالقوة. وهذا بدوره يسبب الكثير من الانزعاج والألم للماشية	1
دفع الإنسان العديد من الحيوانات لاستخدامها الشخصي مثل الأبقار وغيرها من الحيوانات الحلوب لإنتاج الحليب منها	1
يشجع الكثير من الناس على استخدام الحيوانات لتلبية احتياجاتهم الشخصية	1
قام الإنسان بتدجين عدد كبير من الحيوانات والطيور واستفاد منها ليجعل الحياة أسهل وأكثر راحة لنفسه	1
سيطر الإنسان على جميع رفاقه من الكائنات على الأرض بسبب عقله المتفوق	0
يجب أن يتصرف الإنسان كوصي على الحيوانات بدلاً من أن يتصرف بصفته ربها أو أسيادها	1
أحمد لديه الكثير من الأبقار	0
أغلب المزارعين لديهم حيوانات في مزارعهم	0
المتاحف والمعارض الفنية ستختفي قريبا	1
أهمية المتاحف والمعارض الفنية واضحة من حيث التعليم والثقافة	1
لا يمكن عرض المعروضات الأصلية بالكامل بالصور ومقاطع الفيديو فقط	1
السفر إلى مكان ما أفضل بكثير من مشاهدة المناظر الطبيعية لذلك المكان على التلفزيون أو الصور	1
من الشائع جدًا أن المزيد والمزيد من الناس يمكنهم مشاهدة المعارض من خلال التلفزيون أو الإنترنت في المنزل بسبب التكنولوجيا الحديثة	1
من الواضح أن الأشخاص الذين يشاهدون المعارض على التلفزيون أو الإنترنت في المنزل ، يوفرون الوقت والمال على الطريق	1
نمط حياة الأفراد في المجتمع الحديث غير صحي لأنهم يفتقرون إلى التمارين البدنية والتواصل وجهًا لوجه	0
تعمل التكنولوجيا بالفعل على تبسيط حياة الناس طوال الوقت	0
أفضل طريقة لتعلم شيء واحد هي تجربته	0
مجموعة من الأصدقاء زاروا المتحف الوطني	0
المتاحف تحوي الكثير من الأشياء التي تظهر كيف كانت الحياة سابقا	0
يجب أن يتعلم المراهقون جميع المواد الدراسية	1
لا يمكن إنكار أن التركيز على موضوع واحد يمكن أن يقلل من ضغط الطلاب ويعزز الفعالية في تدريب المواهب	1
لا يزال العديد من المراهقين غير قادرين على الاستمتاع بتنوع المناهج الدراسية	1
إن الجمع بين المواد الصعبة والسهلة يوازن بين إجهاد العمل المدرسي ويعزز حماسهم في الفصول الدراسية	1
مع بعض المعرفة الأساسية للمجالات المتنوعة ، يكون لدى الطلاب المزيد من الخيارات في اختيار المجالات أو الوظائف المتخصصة في المستقبل	1
من المقبول عمومًا أن يتعلم الطلاب أكثر من ثمانية مواد في المدرسة	1
يحتفظ الجمهور بوجهات نظر مختلفة حول ما إذا كان يجب تعليم الطلاب جميع المواد أو مجرد التركيز على موضوع واحد	0
أخوتي يدرسون العديد من المواد الدراسية	0
جميع الطلاب في سوريا يدرسون العديد من المواد الدراسية في مراحل دراستهم	0
تأثير اللغة الإنجليزية	1
إنها مسألة حقيقة أن تزايد لغات الأقليات قد تضاءل من العالم بسبب انتشار اللغة الإنجليزية	1
المعارضين قد يلومون أن اللغة الإنجليزية تجعل اللغات الأقل شهرة تختفي على مدار العام	1
أقترح على جميع الشباب تعلم اللغة الإنجليزية	0
تعلم اللعة الإنكيزية يحتاج بعض الجهد	0
الإبداع - يجب أن يعطى الحرية أو القيود	1
يجب أن يكون لدى الفنانين وعي ذاتي بعدم إنشاء أعمال مبتذلة أو مؤذية أو عديمة الفائدة والتي لا تخدم أي غرض	1
يجب أن يعرف الفنانون أيضًا عدم إيذاء مشاعر الناس	1
الأعمال المبتكرة تجعل الناس يدركون الأشياء بطريقة سلمية وينفثون في ضميرهم. يساعد في إثارة القضايا وانتقاد التصرفات الخاطئة للحكومات	1
الإبداع ينشأ في عقل حر. وبالتالي ، يجب منح الفنانين المبدعين حرية التعبير عن أفكارهم دون أي قيود	1
القيود ستحد من الأفكار المبتكرة للفنانين وستحد من أدمغتهم	1
الإبداع هو القدرة على التفكير فيما وراء ما هو واضح	0
قام فنانون مبدعون بعمل أعمال فنية أعطت رسالة اجتماعية. من المنحوتات إلى اللوحات والكتب إلى الدراما والأفلام	0
تساعد الأعمال الإبداعية على خلق وعي اجتماعي من خلال إعطاء رسالة اجتماعية	0
العقل مثل المظلة ، لا يعمل إذا لم يكن مفتوحًا	0
العديد من الحكومات تقيد الفنانين	0
المنافسة أو التعاون - أيهما أفضل	1
ساعدت المنافسة في تطوير العلم والتكنولوجيا	1
تساعد المنافسة في التحسين والتطور	1
المنافسة الصحية التي تنطوي على رفع مستوى المرء فوق الآخرين هو أفضل نهج	1
التعاون يساعد على فهم منظور الآخرين والتعلم من أخطائهم. فإن  يساعد على تحديد نقاط القوة والضعف لدى المرء مقارنة بالآخرين	1
سيوفر النهج التعاوني الوقت والطاقة وسيحقق معدل نجاح أعلى	1
تؤكد النظم التعليمية على تشجيع النهج التعاوني عند الأطفال	1
النهج التعاوني يساعد دائمًا الطفل على أن يصبح بالغًا مسؤولًا يتمتع بقيم أخلاقية جيدة ودائرة اجتماعية ودية	1
يعتقد بعض الناس أن غرس النهج التعاوني في الطفل أمر ضروري بينما يعتقد البعض أن المنافسة هي أفضل طريقة للنجاح	0
المجتمع الحديث مليء بالمنافسة الشديدة	0
المنافسة العمياء والأنانية ضارة	0
يجب أن تستند المنافسة دائمًا إلى قاعدة تحسين الذات	0
عندما يتم اتباع التعاون والمنافسة الصحية معًا ، يصبح النجاح والإنجازات والتقدير وأي هدف أسهل	0
