,text,lable
42,عندما تمارس الرياضة ، يفرز جسمك الإندورفين ، وهي مواد كيميائية تخلق شعورًا بالسعادة في الدماغ,1.0
43,يعتقد معظم الناس أن ممارسة الرياضة هي مجرد نشاط بدني و مضيعة للوقت,1.0
44,ممارسة التمارين بشكل خاطئ قد تأتي إلى مشاكل خطير على الجسم,1.0
45,بعض الناس تهدر وقتها بالاهتمام بالتمارين الرياضية على حساب باقي الأعمال اليومية,1.0
46,التكاليف المالية لممارسة التمارين الرياضية قد تكون باهظة,1.0
47,معاوية يملك بنية جسدية جميلة,0.0
48,الأكل بدأ يبرد عليك أن تسرع و إلا لن تستطيع تناوله,0.0
49,ما رأيك أن اشتري لك أوراقاً أكبر من هذه,0.0
50,استيقظ قبل أن يفوتك موعد الباص لكي لا تذهاب مشياً 0,
51,اكتب واجباتك اليوم حتى لا تجد نفسك في ورطة غداً,0.0
52,القلم الزرق أكثر جمالاً من القلم الأحمر,0.0
53,سماعتي بحوزتك منذ أمس هل يمكنك إرسالها لي من فضلك,0.0
54,حلقة الغد ستكون غنية بالإثارة و التشويق,0.0
55,عمران طالب مجتهد و مجد في دراسته,0.0
56,هل ستصبح الصحف شيئاً من الماضي؟,1.0
57,شهدت وسائل الإعلام المطبوعة مثل الصحف انخفاضًا كبيرًا في عدد القراء,1.0
58,شراءالصحف يعدإهدارًا للمال عندما يصبح الإنترنت متاحًا للجميع,1.0
59,نقطة أخرى هي أنه ، من الناحية الاقتصادية ، يبدو أن شراء الصحف يعد إهدارًا للمال عندما يصبح الإنترنت متاحًا للجميع,1.0
60,يحب بعض الناس قراءة الصحف لأنها تشعرهم بالمتعة أكثر من قراءة الأخبار من الإنترنت,1.0
61,بعد قراءة الصحف يمكن ن تستخدم في أعمال أخرى,1.0
62,تعد قراءة الصحف صحية أكثر من قراءة الأخبار من شاشة تلفاز أو هاتف أو غيرها,1.0
63,المساء مخصص لقراءة قصص ما قبل النوم,0.0
64,أفضّل النوم على جانبي الأيمن لأنه يشعرني براحة أثناء النوم,0.0
65,متى سينتهي عملنا في هذا المكان؟,0.0
66,ما رأيكم بالذهاب في رحلة مع نهاية السنة الحالية و بداية السنة الجديدة؟,0.0
67,تلقيت اليوم و بفضل الله الجرعة الأولى من لقاح كورونا,0.0
68,لا أنكر أنك صاحب الحق في هذا العمل,0.0
69,وضع الكهربا يسوء يوم بعد يوم,0.0
70,التكنولوجيا لا تستطيع أن تحل كل مشاكل العالم!,1.0
71,إن التكنولوجيا ليست الحل الأفضل لجميع مشاكل العالم المعقدة,1.0
72,عدم وجود خلاف على حقيقة أن التكنولوجيا مهمة جدًا لحياتنا,1.0
73,أعتقد بقوة أن مزاياها تفوق بوضوح عيوبها ، ويمكنها أن تساهم بشكل كبير في تنمية العالم,1.0
74,هناك بعض المشاكل الخطيرة التي تنشأ من التكنولوجيا الحديثة,1.0
75,أنا ادرس بجد كي اعمل في المكان الذي أحلم به,0.0
76,لا يمكنك الذهاب متى شئت دون أن تستأذن من أمك,0.0
77,طاهر يحب مشاهدت الأسماك في الحوض لكنه يخاف لمسها,0.0
78,كم درساً عليك أن تتعلم لتصبح حكيماً,0.0
79,أمضيت نصف وقتي و أنا اصنع هذه البيانات,0.0
80,مسألة عدم الزواج من نفس الجنس,1.0
81,لا يوجد أي سبب قانوني أو منطقي أو حاكم على الإطلاق يمنع الأزواج من نفس الجنس ، ومن غير الدستوري تمامًا في كل الأحوال إخبارهم بأنهم لا يستطيعون ذلك,1.0
82,الأشخاص الذين ينجذبون إلى نفس الجنس يشعرون بالدونية ويبدون أدنى من الآخرين,1.0
83,ما رأيك بتجربة الأكل في هذا المطعم,0.0
84,يجب على الجميع الذهاب للتخييم,1.0
85,يعد قضاء الوقت في التخييم طريقة رائعة لتنشيط الرئتين,1.0
86,جزء آخر رائع عن التخييم هو التواجد في الخارج تحت أشعة الشمس,1.0
87,يتيح التخييم لأي شخص إمكانية الذهاب إلى أماكن لم يسبق لها مثيل من قبل,1.0
88,التخييم له متطلبات مادية قد لا يمكن تحملها,1.0
89,التخييم في أماكن لا يجب التخييم بها قد يعود بمشكلات نحن بغنىً عنها,1.0
90,نسبة كبيرة من التلوث في الطبيعة سببه المخييمين الغير مهذبين,1.0
91,أحمد يعمل على مشروع الروبوتية منذ الصباح الباكر,0.0
92,عمير يأخذ استراحة من العمل حالياً,0.0
93,غسان أنهى ما طُلِبَ منه على أكمل وجه,0.0
94,حسن لا يمكن التفاهم معه على الإطلاق,0.0
95,أنا أجلس بالمدرج الخامس لأنه موقعي المفضل,0.0
96,أحلم بالتخييم في مكان لا يراني فيه أحد,0.0
97,في أخر رحلة تخييم شاهدنا الأسماك الملونة,0.0
98,لا تقوم المدارس بفحص الخزانة,1.0
99,الفحوصات مطلوبة لأن الطلاب الخبثاء يجلبون المخدرات والأسلحة إلى المدرسة ويخزنونها في الخزائن,1.0
100,تساعد عمليات فحص الخزانة على زيادة السلامة في المدارس,1.0
101,تساعد عمليات التحقق من الخزانة الطلاب على البقاء بصحة جيدة جسديًا وعقليًا لأنها تثني الطلاب عن إحضار الأسلحة النارية وخاصة المخدرات,1.0
102,فحص خزائن الطلاب يعتبرانتهاك لخصوصياتهم,1.0
103,بعض الطلاب تخبئ في الخزانة أغلاض لا ترغب لأحد أن يراها,1.0
104,خزائن الفتيات يجب أن تكون خصوصية قصوى و لا ينبغي على أحد رؤية ما بداخلها,1.0
105,حياة المدرسة جميلة مع الأصدقاء,0.0
106,دائما ما كان ينال الدرجات عُليا في جميع المواد,0.0
107,القاعات ممتلئ بالطلاب المهتمين,0.0
108,متى سأراك مجدداً؟,0.0
109,لا تحارب بناظريك خافقي,0.0
110,جهازي يعمل بشكل مثالي دون أي أعطال,0.0
111,مازال يحاول جاهداً لكنه في كل مرة يفشل فشلاً ذريعاً,0.0
112,الكمبيوتر يحل محل القوة البشرية في الوظائف,1.0
113,مع الاتجاه الحالي للتكنولوجيا المتغيرة باستمرار ، لا يمكن إنكار إمكانية استبدال العديد من الوظائف,1.0
114,صحيح أن التكنولوجيا وأجهزة الكمبيوتر تجعل وظائفهم أسهل ، لكنها بالتأكيد لا يمكن أن تحل محلها,1.0
115,شاحن عمير من النوع الفاخر,0.0
116,استخدام الحيوانات لمنفعة البشر,1.0
117,مع التطور السريع لمستوى حياة الناس ، يتم إجراء عدد متزايد من التجارب على الحيوانات ، مثل الأدوية والأطعمة الجديدة,1.0
118,يقول بعض المعارضين إنه أمر قاس على الحيوانات والطبيعة,1.0
119,أملك حيواناً أليفاً,0.0
120,يجب على الدول الغنية مساعدة الدول الفقيرة,1.0
121,لتخفيف هذا الاختلاف ومساعدة البلدان الأقل ثراءً ، يجب على الدول الأغنى أن تبذل جهودًا لتحسين المجالات المهمة في البلدان الأقل ثراءً,1.0
122,وجود الاختلاف بين الدول يعتبر محرك أساسي للعمل و السعي للتطور,0.0
123,المساواة بين الجنسين في القبول الجامعي,1.0
124,في الوقت الحاضر ، يشارك الرجال والنساء على قدم المساواة في كل مجال,1.0
125,في الماضي ، كانت النساء يعملن في المنزل ويؤدين عملاً متطورًا,1.0
126,علينا أن ننهي عملنا على أكمل وجه,0.0
127,هل المتاحف كشكل من أشكال الترفيه؟,1.0
128,هل المتاحف كشكل من أشكال التعليم؟,1.0
129,يقول بعض الناس أن زيارة المتاحف ليست سوى شكل من أشكال الترفيه,1.0
130,يختلف آخرون ، بحجة أن المتاحف تلعب دورًا في التعليم,1.0
131,ما رأيكم أن نزور جدتنا في عطلة نهاية الأسبوع,0.0
132,الإعلانات تؤثر على السلع الاستهلاكية,1.0
133,الطريقة الأكثر فعالية لإقناع المستهلكين بشراء منتج هي من خلال الإعلان,0.0
134,قد يكون العمل لساعات متأخرة ممتعاً في بعض الأحيان,0.0
135,يجب أن يذهب الشباب إلى الجامعة,1.0
136,وفيما يتعلق بتنمية الدولة ، يعتقد البعض أنه من الضروري للطلاب الصغار الحصول على تعليم عالي الجودة في الجامعات,1.0
137,هناك العديد من فرص العمل لأولئك الذين ليس لديهم شهادة التخرج من الجامعة ، مثل الميكانيكيين أو مندوبي المبيعات,1.0
138,متى سنكون بخير,0.0
139,تأثيرات الهواتف المحمولة,1.0
140,جلبت شعبية الهواتف المحمولة الكثير من الراحة,1.0
141,يسود ذعر بين الناس من أن محادثتهم يمكن أن يعترضها الطرف الثالث,1.0
142,سنجلس حتى يحين موعد الرحيل,0.0
143,الكمبيوتر له آثار سلبية على الأطفال,1.0
144,يعتقد بعض الناس أن الكمبيوتر مفيد للأطفال ويجب استخدامه يوميًا من قبل الأطفال,1.0
145,استخدام الكمبيوتر باستمرار له تأثير سيء على عيون الأطفال,1.0
146,الأطفال الذين يمارسون الألعاب كثيرًا على الكمبيوتر قد يفتقرون بشكل خطير إلى مهارات الاتصال ، ولن يعرفوا سوى القليل عن الحياة الخارجية,1.0
147,سأكتب حتى تهتف الأوراق باسمي,0.0
148,أصبح إنشاء مصانع كبيرة بالقرب من المناطق السكنية مسألة مثيرة للجدل في مجتمعنا,1.0
149,تعتبر المباني الصناعية جزءًا ضروريًا من المجتمع الحديث,1.0
150,يعارض عدد كبير من الناس بناء مصنع بالقرب من مجتمعهم بسبب التلوث,1.0
151,صيدقي محمد في زيارتي اليوم,0.0
152,أنام على جنبي الأيمن,0.0
153,أشرب الكثير من الماء بعد الطعام,0.0
154,طعام مجهز مسبقا,1.0
155,يبدأ المزيد والمزيد من الناس في اختيار الأطعمة الجاهزة كوجباتهم اليومية,1.0
156,لكن من الواضح أن الطعام المطبوخ يمكن أن يحدث بعض التأثير السلبي الناتج عن استخدام المكونات الاصطناعية وتجاهل تغذية الطعام وتعديل عادات الأكل لدى الناس,1.0
157,سامي كان جالس مع أصحابه اليوم,0.0
158,ذهب عبد القادر إلى العمل اليوم,0.0
159,المساعدات المالية للدول النامية,1.0
160,هناك فجوة متزايدة بين البلدان المتقدمة والبلدان النامية,1.0
161,تفتقر معظم البلدان النامية إلى الموارد التعليمية,1.0
162,التعليم جزء أساسي في التنمية,0.0
163,تقدم مساعدات مالية للدول الفقيرة,0.0
164,يجب على المجتمع حظر جميع أشكال الإعلان,1.0
165,فهي تتسبب فقط في الإضرار بالمجتمع ويجب حظر جميع أشكال الإعلان,1.0
166,بفضل الإعلانات التي نتعرف عليها حول المنتجات الجديدة ، يمكننا مقارنتها واختيار الأفضل بالنسبة لنا,1.0
167,الإعلان عن السجائر والكحول سيؤثر بالتأكيد على أطفالنا بطريقة سلبية,1.0
168,يتعين على الحكومات أيضًا الاعتماد على الإعلانات,0.0
169,أنا أؤيد فكرة حظر الإعلان عن الكحول والسجائر,0.0
170,الإعلان أصبح جزءًا لا يتجزأ من حياتنا الحديثة,0.0
171,هل تعمل المرأة المتزوجة عادة؟ لماذا ولماذا لا؟,1.0
172,العمل خارج المنزل سيحقق الكثير من الفوائد لكل من المرأة المتزوجة وأسرها,1.0
173,هناك العديد من الظروف الداعمة التي تساعد المرأة على تحقيق التوازن بين العمل المنزلي والعمل,1.0
174,يمكن للمرأة المتزوجة الذهاب إلى العمل للاستمتاع بالحياة العملية خارج المنزل,0.0
175,النساء المتزوجات في الوقت الحاضر لهن الحق في تولي وظائف مثل الرجال,0.0
176,الحكومة والتعليم,1.0
177,يوفر التعليم الابتدائي والثانوي المعرفة والمهارات الأساسية للناس في هذا العالم,1.0
178,قد لا يكون لدى بعض الآباء ما يكفي من المال لدفع الرسوم الجامعية لأبنائهم,1.0
179,يمكن للطلاب الذين لديهم بالفعل معرفة أساسية وتعليم الحصول على وظيفة بدوام جزئي ويمكنهم دفع تكاليف   دراساتهم الخاصة عندما لا يستطيع والدهم دفعها,0.0
180,الحكومة كانت تدفع الكثير من المال لتعليم طلابها الابتدائي والثانوي,0.0
181,تقديم بعض المساهمات أيضًا لمستقبل أطفالهم,0.0
182,الحكومة لا ينبغي أن تدفع رسوم الجامعة,0.0
183,وسائل نقل بديلة للتخفيف من الازدحام المروري,1.0
184,تؤدي الزيادة في عدد السيارات إلى التلوث البيئي,1.0
185,تؤدي الزيادة في عدد السيارات إلى ازدحام مروري رهيب,1.0
186,يصبح الهواء ملوثًا ويسبب أمراض الجهاز التنفسي للسكان المحليين,1.0
187,من الضروري تغيير السيارات إلى وسائل النقل الأخرى وسن تشريعات للتحكم في السيارات,1.0
188,القوانين الدولية المتعلقة بالتحكم في السيارات ضرورية,0.0
189,ينبغي النظر في أشكال بديلة من النقل في ضوء التلوث البيئي,0.0
190,يجبرنا على إضاعة وقتنا لفترة من الوقت,0.0
191,وتخفيف الازدحام المروري,0.0
192,إن تقديم المساعدة إلى البلدان الفقيرة له آثار سلبية أكثر من التأثير الإيجابي,1.0
193,فإن كمية كبيرة من المواد والأموال تجعل الدول الفقيرة فاسدة وتعتمد سياسياً على دول أخرى,1.0
194,سيجعل الأرض مكانًا أفضل للعيش فيه,0.0
195,تأمل الناس في البلدان الغنية مع الفقراء الذين يعانون من الفقر والأمراض,0.0
196,آثار العولمة (انخفاض في التوتر العالمي),1.0
197,يفضل بعض الناس الاعتراف بالعولمة كتهديد للقيم العرقية والدينية لأفراد بلادهم,1.0
198,لعولمة تعرض ثقافتهم الموروثة لخطر التغيير غير المنضبط وتجعلهم عرضة لهجوم الحكومات الإمبريالية,1.0
199,يمكن للناس الوصول بشكل أكبر إلى العديد من الموارد الطبيعية في العالم,1.0
200,فكرة العولمة إلى انخفاض كبير في التوتر العالمي بسبب تقارب فوائد الناس في العالم وهو نتيجة طبيعية للعولمة,1.0
201,من المرجح أن تحل مشاكل العالم بدلاً من تكثيفها,0.0
202,كل تغيير له جوانبه الإيجابية والسلبية,0.0
203,انخفاض كبير في التوتر العالمي,0.0
204,للعولمةآثار إيجابية وسلبية,0.0
205,الدراسة في المدرسة أو الحصول على وظيفة؟,1.0
206,تقدم المدارس للطلاب بيئة جيدة مع أساتذة ذوي خبرة وبرامج عالية الجودة للدراسة,1.0
207,توفر المدارس الكثير من المعرفة الأكاديمية للطلاب,1.0
208,يمكن للأطفال تعلم المهارات الاجتماعية,0.0
209,مغادرة المدرسة مبكرًا للعثور على وظيفة,0.0
210,تعكس المبيعات المرتفعة قوة الإعلان وليس الحاجة الحقيقية,1.0
211,غالبًا ما تكون ممتعة بصريًا ، لأنها تهدف إلى جذب انتباهك,1.0
212,يساعد الإعلان أيضًا في الحفاظ على الأسعار عند مستويات معقولة,1.0
213,الإعلانات يمكن أن تكون مزيفة ومبالغ فيها,1.0
214,الإعلانات تملأ الشوارع,0.0
215,تضخ الشركات مبلغًا كبيرًا من المال في الإعلانات,0.0
216,لا يمكننا إنكار أن القرار النهائي في أيدينا نحن المستهلكين,0.0
217,السيطرة على السلاح,1.0
218, نسمع بعض الأخبار من وقت لآخر عن إصابة شخص ما عن طريق الصدفة أثناء الصيد,1.0
219, ستخلق البنادق مجتمعًا عنيفًا إذا استمر هذا الاتجاه,1.0
220,ويجب على الحكومة فرض سلسلة من القوانين لمنع مجتمعاتنا من العنف,1.0
221,السلاح بالتأكيد ليس نوعًا من الخير الطبيعي في مجتمعنا,1.0
222,التكنولوجيا التي توسع الفجوة بين الأغنياء والفقراء؟,1.0
223,يؤدي تقدم تكنولوجيا المواد إلى انخفاض حاد في أسعار عدد كبير من المنتجات,1.0
224,يمكن لمعظم أفراد مجتمعنا الاستفادة من نتائج التطورات التقنية ، وخاصة الفقراء,1.0
225,تتسع الفجوة بين الأغنياء والفقراء من خلال التكنولوجيا,1.0
226,لا إله إلا الله,0.0
227,لماذا يجب أن يسافر البشر إلى الفضاء الخارجي؟,1.0
228,يمكن اكتشاف العديد من الحقائق حول النظام الشمسي,1.0
229,يمكن اختراع قدر كبير من التكنولوجيا المتطورة. نظرًا لأن رواد الفضاء يحتاجون إلى السفر إلى الفضاء الخارجي الذي لا يحتوي على أي أكسجين للتنفس,1.0
230,كان الفضاء الخارجي أحد أكثر مجالات الدراسة ملاءمة,0.0
231,تم إطلاق رحلات الفضاء وحقق العديد منها نجاحًا,0.0
232,فوائد قيام الطلاب بوظائف إضافية,1.0
233,توفر لهم الوظائف بدوام جزئي فرصة ثمينة لممارسة ما يتعلمونه في جامعاتهم,1.0
234,يساعد القيام بوظائف إضافية الطالب في الحصول على أموال مقابل إقامتهم,1.0
235,يساعد القيام بوظائف إضافية الطالب في الحصول على أموال مقابل إقامتهم,1.0
236,يتعرض الطلاب عادةً لوظائف إضافية بمجرد بدء جامعتهم,1.0
237,يمكن اكتساب ثقة الطلاب بشكل كبير,1.0
238,غالبًا الآباءيقدمون الأفضل,0.0
239,هل يجب أن تقبل الجامعات عددًا متساويًا من الذكور / الإناث,1.0
240,نظرًا لأن كلا الجنسين متساويان في الأهمية ، يجب منح كلا الجنسين فرصًا متساوية,1.0
241,يعتقد بعض الرجال الشوفينيين أن النساء غير قادرات في مجالات معينة ، مثل الرياضيات والهندسة الميكانيكية والدفاع وما إلى ذلك,1.0
242,إنه يوم جميل للنزهة,0.0
243,الألعاب التقليدية أو الألعاب الحديثة في تنمية مهارات الأطفال,1.0
244,لعبت الألعاب دورًا رئيسيًا في نمو الأطفال ، خاصة من حيث قدراتهم,1.0
245,أعتقد أن الألعاب التقليدية لا تزال لا غنى عنها في عملية تعلم الأطفال ، بل إنها أكثر أهمية من الألعاب الحديثة ، خاصة في المجتمع الحديث,1.0
246,أريدك أن تكون دائماً سعيد,0.0
247,لا ينبغي للحكومة أن تخصص أموالاً في بناء المسارح أو الملاعب الرياضية,1.0
248,يجادل بعض الناس بأن الحكومة يجب أن تستثمر أكثر في الرعاية الطبية والتعليم بدلاً من الترفيه أو المرافق الرياضية,1.0
249,لمرافق الترفيهية مثل دور السينما والمسارح والملاعب الرياضية موجهة في الغالب للربح. يعتمد وجودهم على استراتيجياتهم التسويقية وحالة المرافق وحجم الجمهور,1.0
250,سنبدأ بتناول الفطور حالاً,0.0
251,يعيش الناس في القرن الحادي والعشرين ، ولديهم قناعة راسخة بأن التكنولوجيا هي القوة الدافعة الرئيسية وراء الإنتاجية,1.0
252,يشعر بعض الناس بالقلق من أن التكنولوجيا الحديثة قد تكون عقبة أمام الحفاظ على التقنيات وأنماط الحياة التقليدية,1.0
253,سأستنتج أن التكنولوجيا تدعم بالفعل الحفاظ على التقنيات وأنماط الحياة التقليدية وتعزيزها,1.0
254,رضوان يمتلك قوة لغوية جيدة,0.0
255,الفنانين المبدعين,1.0
256,يجلب الفنانون المبتكرون المتعة والإلهام لحياتنا المملة في بعض الأحيان,1.0
257,يرى بعض الناس أن الفنانين قد عهد إليهم بالكثير من الحرية والسلطة ويجب أن يتم تقييدهم من قبل الحكومة,1.0
258,أحب النظر إلى رسوماتك,0.0
259,يجب أن تسيطر الحكومة على جرائم الإعلام,1.0
260,أدى ارتفاع معدل الجريمة إلى اقتراح أن الوقت قد حان للحكومة لاتخاذ إجراءات للسيطرة على انتشار مشاهد العنف في وسائل الإعلام,1.0
261,تعتبر وسائل الإعلام ، مثل التلفزيون أو الفيلم ، مصدر المعلومات الصحيح الذي تنظمه الحكومة,1.0
262,متى رأيت أخاك البارحة؟,0.0
263,في الوقت الحاضر ، توجد فرص للنساء أكثر مما كانت عليه في الماضي,1.0
264,لقد انفتحت النساء على فرص أكثر من أي وقت مضى,1.0
265,فإن كل شيء له جانب إيجابي وسلبي ، يجب على المرأة أن تجد أفضل طريقة للتغلب على مثل هذه التحديات,0.0
266,لا تجادلني في ما لا تعلم,0.0
267,يمكن السيطرة على تزايد حركة المرور والتلوث عن طريق زيادة أسعار البنزين,1.0
268,نظرًا لأن آثار تلك القضايا المتعلقة بالتلوث والمرور بعيدة المدى للغاية ، فليس من الكافي زيادة سعر البنزين فقط لحل المشكلات,1.0
269,سنذهب إلى حيث تشاء,0.0
270,إيجابيات وسلبيات التطورات في الزراعة,1.0
271,يجب الحفاظ على هذه التطورات في الزراعة من أجل منفعة جميع البشر,1.0
272,الطعام المعدل وراثيًا يقطع التوازن الطبيعي للنظام البيئي ويعود ليطاردنا بطرق غير متوقعة,1.0
273,قد تكون الابتكارات في الزراعة مثل الزراعة الآلية وابتكارات أغذية الهندسة الوراثية هي الطريقة الوحيدة لإطعام العدد الهائل من الناس في كل ركن من أركان العالم,1.0
274,الزراعة هي جزء أساسي في هذا الكون,0.0
275,الثورة الصناعية ربما غيرت الكثير من واقعنا,0.0
276,مزايا وعيوب السائدة في اللغة الإنجليزية,1.0
277,مع تطور العولمة ، أصبحت اللغة الإنجليزية هي اللغة المهيمنة في التجارة الوطنية ، والمؤتمرات والعديد من الأحداث الهامة,1.0
278,يعتقد المعارضون أن الوضع المهيمن للغة الإنجليزية قد دمر التنوع الثقافي وانقرضت العديد من اللغات الأقل استخدامًا,1.0
279,انتشار اللغة الإنجليزية يعزز التواصل والتفاعل بين مختلف البلدان بشكل أكثر ملاءمة ووضوحًا,1.0
280,يجب الدعوة إلى اللغة الإنجليزية كلغة أنيقة في العديد من المجالات لتوسيع التجارة العالمية والاتصالات,1.0
281,في العصور القديمة ، وضعت اللغات والجغرافيا المختلفة حواجز أمام الناس لتبادل سلعهم وأفكارهم,0.0
282,أدى ابتكار الطائرة والقطار إلى حل الحواجز الجغرافية,0.0
283,اللغة الإنجليزية هي لغة جميلة,0.0
284,لا جدال في أن اللغة تحتوي على العديد من جوانب الحياة اليومية للناس,0.0
285,تدجين الحيوانات,1.0
286,يشعر الآخرون بالقلق من عدم إساءة استخدام الحيوانات,1.0
287,يستغل العديد من المزارعين والملاك الحيوانات بما يتجاوز حدودهم. على سبيل المثال ، غالبًا ما يتم حقن الأبقار بواسطة الأوكسيتوسين ، وهو هرمون يستخدم لزيادة الرضاعة بالقوة. وهذا بدوره يسبب الكثير من الانزعاج والألم للماشية,1.0
288,دفع الإنسان العديد من الحيوانات لاستخدامها الشخصي مثل الأبقار وغيرها من الحيوانات الحلوب لإنتاج الحليب منها,1.0
289,يشجع الكثير من الناس على استخدام الحيوانات لتلبية احتياجاتهم الشخصية,1.0
290,قام الإنسان بتدجين عدد كبير من الحيوانات والطيور واستفاد منها ليجعل الحياة أسهل وأكثر راحة لنفسه,1.0
291,سيطر الإنسان على جميع رفاقه من الكائنات على الأرض بسبب عقله المتفوق,0.0
292,يجب أن يتصرف الإنسان كوصي على الحيوانات بدلاً من أن يتصرف بصفته ربها أو أسيادها,1.0
293,أحمد لديه الكثير من الأبقار,0.0
294,أغلب المزارعين لديهم حيوانات في مزارعهم,0.0
295,المتاحف والمعارض الفنية ستختفي قريبا,1.0
296,أهمية المتاحف والمعارض الفنية واضحة من حيث التعليم والثقافة,1.0
297,لا يمكن عرض المعروضات الأصلية بالكامل بالصور ومقاطع الفيديو فقط,1.0
298,السفر إلى مكان ما أفضل بكثير من مشاهدة المناظر الطبيعية لذلك المكان على التلفزيون أو الصور,1.0
299,من الشائع جدًا أن المزيد والمزيد من الناس يمكنهم مشاهدة المعارض من خلال التلفزيون أو الإنترنت في المنزل بسبب التكنولوجيا الحديثة,1.0
300,من الواضح أن الأشخاص الذين يشاهدون المعارض على التلفزيون أو الإنترنت في المنزل ، يوفرون الوقت والمال على الطريق,1.0
301,نمط حياة الأفراد في المجتمع الحديث غير صحي لأنهم يفتقرون إلى التمارين البدنية والتواصل وجهًا لوجه,0.0
302,تعمل التكنولوجيا بالفعل على تبسيط حياة الناس طوال الوقت,0.0
303,أفضل طريقة لتعلم شيء واحد هي تجربته,0.0
304,مجموعة من الأصدقاء زاروا المتحف الوطني,0.0
305,المتاحف تحوي الكثير من الأشياء التي تظهر كيف كانت الحياة سابقا,0.0
306,يجب أن يتعلم المراهقون جميع المواد الدراسية,1.0
307,لا يمكن إنكار أن التركيز على موضوع واحد يمكن أن يقلل من ضغط الطلاب ويعزز الفعالية في تدريب المواهب,1.0
308,لا يزال العديد من المراهقين غير قادرين على الاستمتاع بتنوع المناهج الدراسية,1.0
309,إن الجمع بين المواد الصعبة والسهلة يوازن بين إجهاد العمل المدرسي ويعزز حماسهم في الفصول الدراسية,1.0
310,مع بعض المعرفة الأساسية للمجالات المتنوعة ، يكون لدى الطلاب المزيد من الخيارات في اختيار المجالات أو الوظائف المتخصصة في المستقبل,1.0
311,من المقبول عمومًا أن يتعلم الطلاب أكثر من ثمانية مواد في المدرسة,1.0
312,يحتفظ الجمهور بوجهات نظر مختلفة حول ما إذا كان يجب تعليم الطلاب جميع المواد أو مجرد التركيز على موضوع واحد,0.0
313,أخوتي يدرسون العديد من المواد الدراسية,0.0
314,جميع الطلاب في سوريا يدرسون العديد من المواد الدراسية في مراحل دراستهم,0.0
315,تأثير اللغة الإنجليزية,1.0
